gene,betahat_d0,betahat_d1,betahat_d2,betahat_d3,se_d0,se_d1,se_d2,se_d3
Gene86,0.036753446,0.04222997,0.018668765,0.05564252,0.015248852,0.023659064,0.03164966,0.039632786
Gene87,-0.024537116,-0.06334244,-0.034845922,-0.016898677,0.014315251,0.024433428,0.032449666,0.04078078
Gene88,0.113705896,0.13389903,0.13155209,0.13093413,0.016083088,0.024966042,0.03240095,0.04149848
Gene89,0.065684535,0.1054257,0.088553846,0.06157354,0.014946658,0.023678178,0.0329833,0.040178686
Gene9,0.23608801,0.055910815,-0.057712276,0.046353977,0.01575304,0.026090045,0.03453704,0.04229454
Gene90,-0.06586571,0.00019716787,-0.049151707,-0.04901395,0.014695303,0.024257341,0.0333255,0.041002367
Gene91,0.045913696,0.023064282,0.0144338235,-0.010718835,0.0146665955,0.02354184,0.03169175,0.04195245
Gene92,0.0817779,0.11653575,0.77827084,0.103670605,0.01637268,0.024667945,0.035539366,0.043910332
Gene93,0.08445087,0.11551804,0.08189926,0.07590699,0.014647146,0.02293029,0.03177849,0.039639544
Gene94,0.028660912,0.02634633,0.00011993612,0.019463196,0.015328883,0.024789715,0.03170594,0.039990693
Gene95,-0.018476687,0.013961157,0.06321239,0.007791576,0.0149724595,0.022786452,0.03089885,0.03990528
Gene96,0.14923896,0.11118218,-0.8229009,0.06425397,0.014584894,0.023710683,0.0356735,0.046644464
Gene97,0.034402918,0.036186665,0.06380443,0.05761048,0.015111883,0.02440213,0.032432117,0.03957176
Gene98,-0.03010406,0.05362644,0.01760082,0.014088848,0.015984565,0.024522476,0.031484555,0.03746681
Gene99,-0.009852333,0.03049341,0.03187215,0.0661277,0.01600047,0.024783647,0.032488417,0.042680334
