gene,betahat_d0,betahat_d1,betahat_d2,betahat_d3,se_d0,se_d1,se_d2,se_d3,postmean_d0,postsd_d0,lfsr_d0,postmean_d1,postsd_d1,lfsr_d1,postmean_d2,postsd_d2,lfsr_d2,postmean_d3,postsd_d3,lfsr_d3,lfsr_min,best_day,plarge_d0,plarge_d1,plarge_d2,plarge_d3,active_days,n_active_days,min_lfsr_among_active,best_day_among_active,max_abs_postmean,active_days_any,n_any_active,hit_anyday
Gene44,0.13163923,0.13897407,0.35622203,0.1271011,0.0146412235,0.022863176,0.032281447,0.03863021,0.127218526509729,0.0214868011791628,1.5394421179685602e-09,0.132055568485188,0.0335440267373332,4.07448732931125e-05,0.346135205477231,0.0473394952509777,1.22863264779121e-13,0.115402061561996,0.0566199536919861,0.0207281836349203,1.22863264779121e-13,2,0.000352966790609921,0.021406487056835566,0.9989889315211076,0.06756998780674583,2,1,1.22863264779121e-13,2.0,0.346135205477231,2,1,True
Gene36,0.06395522,0.096197985,0.042489924,-0.18977684,0.014292712,0.022370283,0.031283733,0.04152175,0.0651668432421007,0.0209169234832497,0.000917125758812,0.098057443890725,0.0327285744630234,0.0013661782582254,0.0451232548933522,0.0457474056859276,0.161963114268646,-0.185779681700289,0.0606804261467475,0.0011132842828451,0.000917125758812,0,5.7372107065134514e-11,0.0009203872109366795,0.00035531661250032265,0.4073575288626301,,0,inf,,0.185779681700289,,0,False
Gene17,0.1837044,0.11018173,0.07054222,0.12089895,0.015546024,0.024157705,0.03338701,0.039474234,0.180183370332795,0.0170148314097188,9.8995634705782e-17,0.107958241770523,0.0260976477002352,0.0001690671426716,0.072161593450428,0.0352199897389717,0.0226199779772908,0.115947644853263,0.0405927230857632,0.0038465827866879,9.8995634705782e-17,0,0.1220767034257142,0.00021028969970271483,0.0001418690087390262,0.019196871816202,,0,inf,,0.180183370332795,,0,False
Gene55,0.16868123,0.15458427,0.111988805,0.12818897,0.015759027,0.023816308,0.03255603,0.04101429,0.178930999208927,0.0235345532008882,2.9523167192353102e-15,0.17019136978563,0.0340828198677203,7.55170236643386e-08,0.150696044221409,0.0553413704071267,0.000663619281731,0.155373563821026,0.0527073014577645,0.001381013306014,2.9523167192353102e-15,0,0.18533022772990637,0.19089742316756264,0.18648981604612536,0.19858560074915388,,0,inf,,0.178930999208927,,0,False
Gene27,0.16192241,0.16784433,0.1827614,0.11849144,0.016560683,0.02398015,0.032863878,0.04161319,0.149158260435948,0.0194443159388035,9.10891933445694e-13,0.14725523063266,0.0256086266373697,5.29714352932083e-08,0.150590547271673,0.0319118749100696,5.68972361375603e-06,0.0997682315814042,0.0488023208542015,0.0119926761789553,9.10891933445694e-13,0,0.004464831274179071,0.019716078181050922,0.06077392311952712,0.01999597754451521,,0,inf,,0.150590547271673,,0,False
Gene13,0.132992,0.11818654,0.106085315,0.102647364,0.01545163,0.025665523,0.03356341,0.04247725,0.144355315917246,0.0142734041134677,1.4294392672197999e-12,0.141338032665238,0.0211039442447672,3.54388240915848e-06,0.139150924171456,0.0264982579598242,0.0004304419569722,0.13817635804834,0.0295821825321617,0.0025525129331127,1.4294392672197999e-12,0,4.839774634157745e-05,0.0027207214315453365,0.010828153043086708,0.01831363678731235,,0,inf,,0.144355315917246,,0,False
Gene26,0.16763239,0.15647519,0.17937519,0.20806573,0.014810895,0.024771923,0.032577977,0.041775085,0.14357878863964,0.0142286348389772,8.21248340478867e-17,0.130004337725909,0.0287311524044282,1.8534177903432e-05,0.132536422028409,0.0295355665636046,8.90438370422689e-05,0.135732125604048,0.0309826919277548,0.0003977262115509,8.21248340478867e-17,0,3.6647466393535666e-05,0.007420645915509061,0.01118144438338442,0.019025015153993352,,0,inf,,0.14357878863964,,0,False
Gene14,0.15066394,0.16748318,0.19704612,0.14749782,0.014442239,0.023179404,0.030764982,0.03764828,0.127359299230803,0.0153816705604972,2.37194319628636e-14,0.128703620469504,0.023556214766397,5.13255647664581e-08,0.141457600121178,0.0301671903495053,1.98318335781338e-06,0.0941787792688776,0.0383091696546536,0.0064534298063941,2.37194319628636e-14,0,1.1645318305220087e-06,0.001236407065160039,0.02615350707264741,0.0028698312660180303,,0,inf,,0.141457600121178,,0,False
Gene41,0.12412312,0.19170275,0.21377952,0.19510885,0.0141973635,0.02373709,0.033118177,0.041321594,0.0880830247337356,0.0148125702608496,3.04947825686284e-10,0.12862809558857,0.0245457955402336,1.38538863515071e-08,0.125146208713357,0.0332087362517862,2.99346280411164e-05,0.0914875739193579,0.0395200714738445,0.0072593838091485,3.04947825686284e-10,0,2.0872192862952943e-14,0.001820464738407357,0.012096852906287592,0.003018593295010308,,0,inf,,0.12862809558857,,0,False
Gene12,0.14001885,0.119351976,0.15343441,0.097893186,0.016369788,0.024758585,0.03224941,0.04161046,0.127738792465635,0.0176462533943049,3.3655004514469694e-11,0.103597383926559,0.0279948310884676,3.06185612513104e-05,0.125518638331222,0.0309311369533551,3.95816030698938e-05,0.0776522378037457,0.0433939588093377,0.0299191637248178,3.3655004514469694e-11,0,2.1109452629120007e-05,0.000287026704604898,0.008020670151750231,0.0024051864718795946,,0,inf,,0.127738792465635,,0,False
