gene,betahat_d0,betahat_d1,betahat_d2,betahat_d3,se_d0,se_d1,se_d2,se_d3,postmean_d0,postsd_d0,lfsr_d0,postmean_d1,postsd_d1,lfsr_d1,postmean_d2,postsd_d2,lfsr_d2,postmean_d3,postsd_d3,lfsr_d3,lfsr_min,best_day
Gene35,0.089942895,0.08908663,0.08828225,0.075368926,0.01466023,0.023579901,0.03186191,0.041512407,0.09185860482783,0.011715519347964,4.83622439162092e-09,0.090768179936651,0.0148729103673399,9.96160899076147e-05,0.0898246214019016,0.0179104210812922,0.00183322225487491,0.0872032492627992,0.0233331961058542,0.0125913924949884,4.83622439162092e-09,0
Gene36,0.06395522,0.096197985,0.042489924,-0.18977684,0.014292712,0.022370283,0.031283733,0.04152175,0.0651668432421007,0.0209169234832497,0.000917125758812002,0.098057443890725,0.0327285744630234,0.00136617825822545,0.0451232548933522,0.0457474056859276,0.161963114268646,-0.185779681700289,0.0606804261467475,0.00111328428284518,0.000917125758812002,0
Gene37,0.13140512,0.434445,0.07417389,0.055482835,0.016165579,0.026934473,0.036337633,0.043629736,0.127675392505273,0.0235770637237452,2.9468259953022e-08,0.427926664959067,0.0392663900777363,5.15152107477958e-28,0.0658412643048014,0.0529460172802228,0.106794478221818,0.0455298677387965,0.063532928966612,0.236843098439027,5.15152107477958e-28,1
Gene38,-0.018012114,-0.051288597,-0.09197647,-0.045572083,0.014729617,0.023936205,0.031186944,0.040675454,-0.00395738908311224,0.0147716184271673,0.395729462331136,-0.0270622663432873,0.0236194689377243,0.127111413382432,-0.056111230410403,0.0300427777044371,0.0323274438945267,-0.00845983661743326,0.0370690844118488,0.411101364363902,0.0323274438945267,2
Gene39,0.034643788,0.08562713,0.104532406,0.07639835,0.014519966,0.02421565,0.033715766,0.042095322,0.0160078094539477,0.0141573657056204,0.134935799279408,0.0518530168005978,0.0236097506823162,0.0204796932108171,0.0560936042761873,0.031458380565407,0.0437263407086079,0.0235666167859563,0.0370684837746016,0.266105189176257,0.0204796932108171,1
Gene4,-0.020471606,-0.033339612,0.0008122234,-0.03457812,0.01504011,0.02403763,0.03174244,0.039378934,-0.0163843163849918,0.0150463339223865,0.172735575968875,-0.0247959985833236,0.0232379316779812,0.171058345568287,0.00247167204523685,0.029542958814154,0.51586489248563,-0.0220052364738905,0.0344125224234903,0.280952783405301,0.171058345568287,1
Gene40,0.12623794,0.11380493,0.096360035,0.13185793,0.015845615,0.024607353,0.03282368,0.04118725,0.115873079483659,0.0175483777982479,6.83847365034653e-11,0.101983832504673,0.0288857290523484,0.000114185000791003,0.0869474579518061,0.0406824477674202,0.0130544987089418,0.10169266148991,0.0371698975171339,0.00673990824447135,6.83847365034653e-11,0
Gene41,0.12412312,0.19170275,0.21377952,0.19510885,0.0141973635,0.02373709,0.033118177,0.041321594,0.0880830247337356,0.0148125702608496,3.04947825686284e-10,0.12862809558857,0.0245457955402336,1.38538863515071e-08,0.125146208713357,0.0332087362517862,2.99346280411164e-05,0.0914875739193579,0.0395200714738445,0.00725938380914856,3.04947825686284e-10,0
Gene42,-0.1099268,-0.08522283,-0.09311744,-0.08521941,0.015767628,0.02398244,0.033145808,0.043102317,-0.109318247746128,0.0163439130821488,8.63041305088075e-10,-0.0946955635930669,0.0298327782592361,0.00057054825553271,-0.0959161070118463,0.0323946015594334,0.00418660571867535,-0.0903068241049257,0.0396815126347744,0.0244201660624399,8.63041305088075e-10,0
Gene43,-0.07479437,-0.1132847,-0.054548413,-0.10608049,0.014609194,0.022403197,0.030422483,0.038608,-0.0609642826226255,0.015050206429572,2.55875061577759e-05,-0.0898960330463121,0.0227581010680539,3.85932076830686e-05,-0.0296622099351868,0.0299977185343394,0.16114266844344,-0.0676251843406457,0.0365207405777862,0.0317536512375901,2.55875061577759e-05,0
Gene44,0.13163923,0.13897407,0.35622203,0.1271011,0.0146412235,0.022863176,0.032281447,0.03863021,0.127218526509729,0.0214868011791628,1.53944211796856e-09,0.132055568485188,0.0335440267373332,4.07448732931125e-05,0.346135205477231,0.0473394952509777,1.22863264779121e-13,0.115402061561996,0.0566199536919861,0.0207281836349203,1.22863264779121e-13,2
Gene45,-0.05857311,-0.035820235,-0.05670164,-0.052915454,0.0138916625,0.022705374,0.03135234,0.039277095,-0.0526519582330005,0.0136565601684524,8.8492243937921e-05,-0.0311453153005993,0.0245725765356708,0.125517983575273,-0.043431217016436,0.0289204061194723,0.0942572842174243,-0.0382636902854825,0.0344157117927178,0.16009807818861,8.8492243937921e-05,0
Gene46,0.032191806,-0.70040095,0.045670222,0.0972515,0.015444536,0.029970683,0.04028015,0.048237983,0.000742714014113474,0.00599679446189454,0.979902201933805,-0.750323044216482,0.0154576765968148,0,0.00111552346777629,0.0113900407164747,0.98257814588977,0.00224276353132778,0.0182857463134355,0.980031994605215,0,1
Gene47,-0.017176397,0.393116,-0.047414172,-0.07060297,0.01611862,0.026773466,0.03639495,0.044033393,-0.000132098038394929,0.00252954758704151,0.994287162919061,0.427568092328911,0.0112719005435297,3.82039121137664e-26,-0.000360918606835386,0.00617804285993088,0.993956273186193,-0.000533138544378128,0.00827590034734433,0.99360241187052,3.82039121137664e-26,1
Gene48,0.017339991,-0.0021528644,-0.021152109,0.009350669,0.014750675,0.023453055,0.031157926,0.039471887,0.0205595235984765,0.014799332772001,0.0902282903677693,0.00528852417185226,0.0235996727457673,0.418922045268169,-0.00806869508929372,0.0311943731420658,0.418412038386577,0.0160982909103112,0.0348477557653258,0.319231960407683,0.0902282903677693,0
Gene49,0.36967254,0.12796362,0.0726655,0.06291523,0.016507892,0.025759092,0.033892695,0.041307174,0.367025720015464,0.0241422451261917,1.74652694198527e-52,0.12395064722296,0.0376597575316845,0.000494447856338593,0.0674492418890798,0.049527828494245,0.0865838947426422,0.0565811988632675,0.0603277947533167,0.174151998273249,1.74652694198527e-52,0
Gene5,0.020625064,-0.0014627293,0.008714997,-0.008585969,0.015927082,0.025079671,0.034066588,0.043782238,0.026908424960909,0.0144110787166161,0.053429805190588,0.0161582438928939,0.0230402178485852,0.265625332490118,0.0223897957142107,0.0256651244643372,0.204040648927986,0.015736433660722,0.0320284222581808,0.289791052447786,0.053429805190588,0
Gene50,-0.05212734,-0.038873237,-0.0011562963,-0.024913093,0.014321777,0.022751298,0.031225199,0.040453155,-0.0572078105914887,0.0149598334856876,5.76963596710112e-05,-0.0473094472731513,0.0232550672713218,0.0224345191041295,-0.019450865952698,0.0344657354625021,0.301684364665839,-0.0393537305838831,0.0367255366431532,0.151280413718258,5.76963596710112e-05,0
Gene51,0.19815226,0.14284274,-0.65963197,0.20880967,0.01708111,0.025957623,0.036301304,0.047372013,0.199973688579922,0.0248392366279722,5.07812606175623e-16,0.145599517777931,0.0377356417974924,5.79857295938697e-05,-0.654753501906551,0.0527521081109045,0,0.213525965423683,0.0687688948357137,0.000958566138091909,0,2
Gene52,0.092599705,0.5817713,-0.039853085,0.50814074,0.018110383,0.028984783,0.042043712,0.05016629,0.0825602723891566,0.0263075060871323,0.000833872432059882,0.565230389627341,0.0420907147590273,9.69987395637053e-42,-0.0628268038300354,0.060996711827538,0.151518031975907,0.479189557386842,0.0727396787993274,1.8922755312646e-11,9.69987395637053e-42,1
