guide,gene,betahat_d0,betahat_d1,betahat_d2,betahat_d3,se_d0,se_d1,se_d2,se_d3,postmean_d0,postsd_d0,lfsr_d0,postmean_d1,postsd_d1,lfsr_d1,postmean_d2,postsd_d2,lfsr_d2,postmean_d3,postsd_d3,lfsr_d3,lfsr_min,best_day
g127,Gene27,0.17220318,0.17812492,0.1930423,0.12877224,0.020324813,0.027124586,0.03503214,0.043545395,0.171877441433774,0.027466992702388,3.78647135945297e-10,0.171864298869268,0.0317641555605498,6.07540237373622e-07,0.175649224001708,0.0356135668161556,2.12006450707266e-05,0.142340728616967,0.0599882161531157,0.0125421296964794,3.78647135945297e-10,0
g128,Gene28,-0.17168759,-0.16747963,-0.14986312,-0.14535752,0.020978503,0.02795104,0.03534746,0.04188493,-0.192911066869081,0.0181069950347715,2.79583023399255e-11,-0.192725454582791,0.0188099361299673,1.57853752180692e-07,-0.192338739120264,0.0203538668698208,3.26299862695167e-05,-0.192182840224017,0.0212028540877578,0.000186786112267634,2.79583023399255e-11,0
g129,Gene29,0.1714529,0.15839808,0.18129028,0.14389257,0.019192636,0.026015203,0.03257576,0.04001932,0.1781643992267,0.0181222214090884,7.96349954846385e-12,0.176539737888884,0.0220298016574105,8.88972425314636e-07,0.177744450351189,0.0209083976304188,5.19903613661747e-06,0.174383654945869,0.0288990923883,0.00090558093084473,7.96349954846385e-12,0
g13,Gene13,0.19695388,0.18214831,0.17004706,0.16660923,0.018579323,0.02787397,0.035182636,0.043812063,0.216350132180457,0.0141818467658766,3.07780523750206e-16,0.216113524258191,0.015177292591406,1.19991481242977e-08,0.215932696967479,0.0161673124090609,2.97434112294701e-06,0.215833877254863,0.0169184238326682,4.18009269094526e-05,3.07780523750206e-16,0
g130,Gene30,0.17059427,0.17650233,0.2027915,0.16933851,0.02056629,0.029987684,0.037600666,0.04388566,0.158377203632759,0.0173402867278301,1.37873851563001e-10,0.15786798967951,0.0192066161079322,2.71669325128883e-06,0.158780075923024,0.0195810029948463,1.38862071013337e-05,0.156272008607615,0.0238766061937909,0.000754605790308498,1.37873851563001e-10,0
g131,Gene31,-0.3925309,-0.3791545,-0.37531054,-0.35649344,0.019887008,0.027006347,0.03604429,0.044508796,-0.411922250629219,0.0149392883908347,1.11022302462516e-16,-0.411898166940816,0.0150342554409184,1.11022302462516e-16,-0.411885782857832,0.0151306588506022,2.66453525910038e-15,-0.411853602783428,0.01533737930462,8.93286555836426e-11,1.11022302462516e-16,0
g132,Gene32,-0.3541826,-0.3634211,-0.30726898,0.10089419,0.020377165,0.027434027,0.03461924,0.0442346,-0.352996457137649,0.0301970019206327,0,-0.361768454499825,0.0406414837331876,0,-0.305206845279252,0.0512715613180138,1.28116539599432e-09,0.102581723841512,0.0655721809732363,0.0589026297726272,0,0
g133,Gene33,0.17588928,0.19810179,0.16428132,0.11967073,0.018979201,0.026430584,0.03475803,0.042036764,0.170947497537048,0.0273006394549914,2.11141052292433e-11,0.186046907206571,0.0328646485656536,3.31261450820908e-08,0.153676835914539,0.0457229635556871,0.000247864798537979,0.114917515421431,0.0594748282423505,0.0175352618174882,2.11141052292433e-11,0
g134,Gene34,0.08578896,0.07707876,-0.36829263,0.092619024,0.020501561,0.02755278,0.034779254,0.043472648,0.0868520612096368,0.0302995445307344,0.00235934781747244,0.0785000037280861,0.0406830417874787,0.0270712187662056,-0.365823903043882,0.0513671240688197,5.05040453901984e-13,0.0947391835911189,0.0641077877702744,0.0699408899523361,5.05040453901984e-13,2
g135,Gene35,0.12268339,0.12182701,0.121022746,0.10810933,0.018877432,0.026381439,0.033890814,0.042984795,0.129092491648364,0.0150125795372706,1.14262995283828e-08,0.128850775327855,0.015868619945768,9.73685390819724e-06,0.128624112141948,0.0168421892417928,0.000174971577205344,0.128031728565521,0.018949576190355,0.00150931886439726,1.14262995283828e-08,0
g136,Gene36,0.031879768,0.06412246,0.010414524,-0.22185214,0.01864539,0.024859495,0.033099264,0.043259542,0.0415666882528546,0.027465323574113,0.0659248148021188,0.0767803719450284,0.0365614116480882,0.0187276325978577,0.0275219954513991,0.048590413401149,0.28460938538261,-0.196256064855984,0.0638254873741548,0.000920033861691372,0.000920033861691372,3
g137,Gene37,0.07055829,0.37359878,0.013327133,-0.0053639435,0.019318042,0.029220963,0.038458627,0.04540453,0.0708398879277758,0.0282888196414856,0.00625734727818654,0.373203093301736,0.0427002037820686,2.30213353637189e-18,0.0142171009971034,0.0562539964663804,0.39966763495292,-0.00411285168259556,0.0663581835241783,0.475943997036173,2.30213353637189e-18,1
g138,Gene38,-0.15061563,-0.1838922,-0.22458003,-0.1781757,0.01834131,0.026414648,0.033548396,0.04246269,-0.122325070046206,0.0239950128825068,4.26518366181128e-08,-0.141839194007892,0.0345850148045995,1.90618411988197e-06,-0.168361131425609,0.0443203767248847,5.50443845714899e-06,-0.114921368828017,0.0527420453500305,0.00873072206836067,4.26518366181128e-08,0
g139,Gene39,0.16025579,0.21123902,0.23014447,0.20201045,0.01843451,0.026440538,0.035336193,0.043320376,0.129729249791208,0.0246288527366273,1.25173058432064e-09,0.164471511612224,0.0362337187807121,3.42533445950855e-08,0.167453476985888,0.0474536638014558,1.46498159885013e-05,0.131538419406002,0.0551164440095964,0.00372215786468969,1.25173058432064e-09,0
g14,Gene14,-0.018170983,-0.0013519056,0.028211074,-0.021337206,0.018161066,0.025422238,0.03275664,0.039242245,-0.0190838833189789,0.0200985663591401,0.177278571129146,-0.00413085914144885,0.0277996626452428,0.444294696394068,0.0209144057285546,0.0358656631626414,0.284508677212519,-0.0213400671052226,0.0403007854462665,0.298664382808671,0.177278571129146,0
g140,Gene40,-0.10944987,-0.12188304,-0.13932781,-0.103829876,0.01906983,0.026699802,0.034626752,0.04248027,-0.100092556037563,0.0178368233074562,3.60360361884027e-06,-0.101318855044416,0.0204909057894421,0.000166168653336296,-0.103620966162999,0.0236780385436944,0.000763014142570184,-0.0929489303435801,0.0320911141965459,0.0198112401997695,3.60360361884027e-06,0
g141,Gene41,0.31040275,0.37798184,0.40005872,0.38138828,0.018794576,0.026924247,0.03557689,0.043157477,0.29484347032719,0.0280853685628897,1.12281969013755e-28,0.354471970800769,0.0417198411242627,5.67672532702751e-21,0.369014612693133,0.0542875984392488,9.45246293731152e-14,0.344972555975487,0.0639439451097587,8.25671245134462e-09,1.12281969013755e-28,0
g142,Gene42,-0.18529777,-0.16059402,-0.16848847,-0.16059035,0.02010359,0.027566418,0.03592169,0.045265406,-0.196233198811773,0.0168487752236318,6.5536465143623e-13,-0.19499540179081,0.0204896410280514,4.9315582206777e-07,-0.194974023252262,0.0212005645004096,1.83496485495205e-05,-0.194380201364186,0.0238016503659577,0.000321261566828879,6.5536465143623e-13,0
g143,Gene43,-0.30899805,-0.34748846,-0.2887523,-0.3402844,0.018850029,0.025109293,0.03277623,0.0404996,-0.297322211640364,0.0277441286391889,1.11022302462516e-16,-0.331007570906468,0.037033353336539,1.11022302462516e-16,-0.269145863139916,0.0480590726075639,3.88161458531044e-09,-0.314290884937394,0.0589807375383575,1.98171032916861e-08,1.11022302462516e-16,0
g144,Gene44,-0.026263285,-0.018928317,0.19831955,-0.03080143,0.018398572,0.025338566,0.03401686,0.040369026,-0.00637689635673927,0.0173011990096539,0.813421926649662,-0.00506887758977968,0.0194675748892849,0.840698675291275,0.221868090083908,0.0304935961928061,1.02780703589671e-05,-0.00810720612677861,0.0309162584677503,0.840258645757818,1.02780703589671e-05,2
g145,Gene45,-0.05217304,-0.029420173,-0.050301578,-0.0465154,0.018428942,0.025585126,0.033677217,0.04124834,-0.0477033250623857,0.0175072894713291,0.00724531063354672,-0.0358161972279451,0.0266827368000301,0.115237033861378,-0.0436401181061201,0.0275803561653987,0.0751753782390354,-0.0406843158002448,0.0325728127594,0.116110861623838,0.00724531063354672,0
g146,Gene46,0.051645894,-0.68094677,0.06512431,0.116705514,0.019323675,0.03228825,0.042242564,0.050059527,0.0135214434494213,0.027082609148198,0.750062485876356,-0.731475634541507,0.04064121053732,0,0.0171778102362193,0.0429313350286325,0.778319485854792,0.0305287425429556,0.0638147852773265,0.755559641728168,0,1
g147,Gene47,-0.3293916,0.08090106,-0.35962936,-0.38281846,0.020439407,0.029392676,0.0381745,0.04599887,-0.323715302942289,0.0302280672349163,0,0.0886438566537272,0.0434168939720524,0.02066203744434,-0.348849256434116,0.0564259900348479,2.75237721503174e-10,-0.369691553537961,0.0679620656824266,2.40855357880321e-08,0,0
g148,Gene48,0.46760803,0.4481152,0.4291158,0.45961872,0.01958791,0.02695943,0.033580154,0.041989088,0.478945623904337,0.0158437865803812,1.0250794085887e-59,0.478599374865947,0.0169219897022885,1.12035969042315e-30,0.478268870863191,0.0183743907860487,2.21753833743396e-19,0.478622137208859,0.0177542063118646,4.84633777655426e-15,1.0250794085887e-59,0
g149,Gene49,0.31262365,0.07091425,0.015616147,0.005865837,0.020108098,0.027985813,0.0354321,0.04265725,0.317281867831751,0.0295125489254222,1.80671259645299e-26,0.0782651863816394,0.0411508212420727,0.0291437289817426,0.0253616535464813,0.0520831118507975,0.312161823631631,0.0178065271463134,0.0626054364875693,0.386639703792493,1.80671259645299e-26,0
g15,Gene15,0.08769245,-0.4385062,0.775037,-0.39005193,0.019374108,0.029647624,0.04380195,0.055100817,0.0875471769019261,0.0284409358668797,0.00104136804037192,-0.438359762413844,0.0435124080851823,0,0.773523871438722,0.0642478352413401,1.13007285412631e-33,-0.389380709532169,0.0807631968595186,7.14120653833028e-07,0,1
g150,Gene50,-0.19650744,-0.18325347,-0.14553648,-0.1692936,0.018312903,0.02548989,0.033464763,0.042218994,-0.217390102738397,0.0204937056977134,2.44249065417534e-15,-0.214952026110769,0.0264094512053745,1.541138616723e-08,-0.209584590191102,0.0392330663421873,0.000137576640838355,-0.211663073715593,0.0362688655655739,0.000306233678778245,2.44249065417534e-15,0
g151,Gene51,0.27753556,0.22222589,-0.580249,0.28819317,0.020663664,0.02826454,0.037702825,0.048380245,0.27754566163001,0.0304742899543985,4.29576456957348e-20,0.222232119336815,0.0416760731482127,4.85680520096296e-08,-0.579276934720415,0.0555737274095484,1.11022302462516e-16,0.2878996383564,0.0712664801234343,2.67647135443422e-05,4.29576456957348e-20,0
g152,Gene52,0.1757028,0.6648751,0.04325003,0.59124404,0.022048831,0.03143486,0.044169735,0.05210886,0.167688788228122,0.0324563806279645,1.16324176005334e-07,0.653013124041519,0.0462627374410958,1.10068442277179e-45,0.0275162295095704,0.0649638025998531,0.335995296869413,0.571362558650443,0.0766042407976472,4.05744834180094e-14,1.10068442277179e-45,1
g153,Gene53,-0.11170441,-0.065409236,-0.08688545,-0.05159388,0.020014465,0.02775385,0.037593048,0.044480346,-0.109901794913759,0.0234314175874068,2.18310231303587e-06,-0.0685428853206774,0.0368926764714692,0.0185337534710035,-0.0847258156089092,0.0418558973440927,0.0202309279201136,-0.0564115714842698,0.0511838716214123,0.130333137464734,2.18310231303587e-06,0
