gene,n_guides,best_day,best_day_among_active,active_days,hit_anyday,max_abs_postmean,min_lfsr,min_lfsr_among_active,guide_min_lfsr_min,median_guide_lfsr_min,gene_postmean_d0,gene_postsd_d0,gene_lfsr_d0,gene_postmean_d1,gene_postsd_d1,gene_lfsr_d1,gene_postmean_d2,gene_postsd_d2,gene_lfsr_d2,gene_postmean_d3,gene_postsd_d3,gene_lfsr_d3
Gene2,6,2,2.0,d2,True,0.6779782696513812,0.0,0.0,0.0,1.0379284664806853e-44,0.059346210813944894,0.012118517180251991,4.861801277122879e-07,0.09592776031377148,0.01658424929850773,3.6414146142860204e-09,0.6779782696513812,0.021820231561394905,0.0,0.09370580375714054,0.027256098877381736,0.0002930402190180481
Gene20,6,2,,,False,0.09599504693957117,0.0,,4.3298697960381105e-15,4.2928097074233253e-10,0.05340748870608038,0.007920830474446545,7.775502464113515e-12,0.06411605355559721,0.0093585306915471,3.664735181985179e-12,0.09599504693957117,0.010841721635834892,0.0,0.05103727959584693,0.012983502573784864,4.230841427588228e-05
Gene21,6,1,,,False,0.08131755402203406,2.220446049250313e-16,,0.0,2.741893657902476e-14,0.041381833518371144,0.008506987644568474,5.73871622666644e-07,0.08131755402203406,0.009999914681076824,2.220446049250313e-16,-0.006405406924581648,0.012323624578098151,0.3016131736812895,-0.03093975235543483,0.01406134727355625,0.013891371766062366
Gene22,6,0,0.0,"d0,d1,d2",True,0.6490867267317489,0.0,0.0,1.14411226187158e-76,2.555187735095276e-41,0.22243412814376962,0.01274856743993519,0.0,0.6490867267317489,0.018692178753454886,0.0,0.2264923267046573,0.0240109053915852,0.0,0.1389960570377275,0.02921246880420242,9.770837676725819e-07
Gene23,6,0,0.0,d0,True,0.5010219888910025,0.0,0.0,0.0,0.0,-0.5010219888910025,0.013319814872950739,0.0,-0.051202072351722756,0.0189854132078152,0.0034992418264079284,0.09476156959378688,0.023189246808906012,2.1901712361549475e-05,0.04364561325860463,0.02774081395330965,0.05782055223001048
Gene24,6,0,,,False,0.1472720091261303,0.0,,7.128453394192911e-47,6.256629769740971e-06,0.10247144667991712,0.008782183822348246,0.0,0.120063554078077,0.011151373465649254,0.0,0.13983657818233308,0.015420333235156243,0.0,0.1472720091261303,0.01656964866971546,0.0
Gene25,6,1,,,False,0.05655497043754564,5.3428334623184526e-06,,1.54521627474889e-10,0.017244850625619815,0.003757001454013196,0.00911893830746172,0.3401697569746316,0.05655497043754564,0.012845192601770476,5.3428334623184526e-06,0.0192471251419749,0.016081919767355995,0.11568882203725145,0.017256875312287843,0.01884005415357787,0.1798419983335638
Gene26,6,0,3.0,d3,True,0.20039199024891055,0.0,0.0,2.48648947175006e-24,1.7180245564159418e-12,0.1769788492208812,0.006191188701709292,0.0,0.17967857803623288,0.00714474633953371,0.0,0.1930168406665252,0.007516440986706549,0.0,0.20039199024891055,0.008139092821947455,0.0
Gene27,6,0,2.0,d2,True,0.2120395245871271,0.0,0.0,1.75688115846336e-25,1.8932660470551973e-10,0.1761643671977355,0.009462832189974891,0.0,0.1920606308655636,0.010930789070929408,0.0,0.2120395245871271,0.012656948612341033,0.0,0.15478729001981525,0.019333108056583104,5.551115123125783e-16
Gene28,6,0,,,False,0.05774617091972263,1.1102230246251565e-16,,0.0,4.508391380592112e-05,-0.05699080626548272,0.006911954786407617,1.1102230246251565e-16,-0.05774617091972263,0.00727904951958433,1.1102230246251565e-15,-0.05665616321779025,0.007960139499430662,5.495603971894525e-13,-0.0566067746157181,0.008296173305836537,4.450551038814865e-12
