guide,gene,betahat_d0,betahat_d1,betahat_d2,betahat_d3,se_d0,se_d1,se_d2,se_d3,postmean_d0,postsd_d0,lfsr_d0,postmean_d1,postsd_d1,lfsr_d1,postmean_d2,postsd_d2,lfsr_d2,postmean_d3,postsd_d3,lfsr_d3,lfsr_min,best_day
g25,Gene25,-0.0008046911,0.05802716,0.018876523,0.018833421,0.018754972,0.02721978,0.03522524,0.042577486,-0.00561999869368901,0.0195905872569668,0.406936057190073,0.0467738516407929,0.0281104363501832,0.0477358084096373,0.00824847715277876,0.0352733415736254,0.430012168394782,0.00666169295115175,0.0412724972109139,0.458158959930762,0.0477358084096373,1
g250,Gene50,0.05468329,0.06793735,0.1056543,0.081897445,0.018435156,0.02549497,0.03300523,0.041778274,0.0318480010909348,0.0187390850781108,0.0424032632371411,0.0353433653518931,0.0246428462075115,0.061548521663335,0.0524647071063494,0.0351080258539219,0.0329474926233154,0.0331341880989129,0.0360888165858787,0.139331246119977,0.0329474926233154,2
g251,Gene51,0.043033566,-0.012275906,-0.81475085,0.053691108,0.020454237,0.028025376,0.03786366,0.04860353,0.0550866439220267,0.030041203759007,0.035006244932319,0.00428409755578559,0.0411481879292192,0.45473368456622,-0.791601455731077,0.0554715941372566,0,0.0827521412691572,0.0712962955376293,0.123539662288787,0,2
g252,Gene52,-0.10805063,0.38112116,-0.24050348,0.3074909,0.02219006,0.03161368,0.043951064,0.052022282,-0.11348418215351,0.0320907875227038,0.000246697701607568,0.372691784072242,0.0457187880256594,1.95128652407728e-16,-0.251123471651204,0.0635248429232816,5.06489092377827e-05,0.293652310821858,0.0750512875087404,3.98090628898262e-05,1.95128652407728e-16,1
g253,Gene53,0.123823576,0.17011884,0.14864264,0.1839341,0.019182628,0.026633,0.03650175,0.043672938,0.0920202827408472,0.0217238617632812,5.42412636279616e-06,0.119177504068075,0.0311007127105464,7.83968557723384e-06,0.0889385252977521,0.03889751349226,0.0100002018742535,0.106241824333482,0.0457889877345773,0.00703352300342581,5.42412636279616e-06,0
g254,Gene54,-0.28169253,-0.32555434,-0.349801,-0.34598282,0.020557083,0.027546491,0.035032604,0.041529957,-0.228421809604572,0.0193915814891713,0,-0.230434216119444,0.0248419236218738,3.33066907387547e-16,-0.231318574390636,0.0284794573016275,7.39064365262721e-12,-0.230690092362174,0.0280260119887929,1.00618285925336e-08,0,0
g255,Gene55,0.20269288,0.18859601,0.14600053,0.16220057,0.018833548,0.025404617,0.03374746,0.041664675,0.233718676564039,0.0215085286817553,1.61715937384091e-15,0.231797865838943,0.026607820432318,4.34797282928024e-09,0.226962200803429,0.0394070200551047,9.62659576504323e-05,0.228182773216867,0.0375707338389014,0.000262197718303036,1.61715937384091e-15,0
g256,Gene56,-0.1855503,-0.14524676,-0.17533082,-0.19623367,0.019273775,0.026566561,0.03459759,0.041935544,-0.158094719285218,0.024535336354563,4.36684022275813e-12,-0.111670556448488,0.0355486613721974,0.000191610694300404,-0.128505584417311,0.0431219070255296,0.000625286389155821,-0.13739010472914,0.0505157821531005,0.00173248120394021,4.36684022275813e-12,0
g257,Gene57,0.02008535,-0.02595428,-0.0040226984,-0.009052193,0.0172485,0.025165703,0.032233693,0.037954472,0.0247072797685425,0.0189840089981369,0.0966109212735005,-0.015977267630868,0.027970502284293,0.279677080867658,0.00592188667712175,0.0341802382480439,0.428316826291394,0.00306098177266048,0.0392491164366247,0.465308377294375,0.0966109212735005,0
g258,Gene58,-0.08791213,-0.08570604,-0.087691024,-0.07894448,0.018973751,0.025321437,0.03315822,0.040561892,-0.0909447833857955,0.0156487500101939,1.06494053390138e-05,-0.0905652257588808,0.0166937992952177,0.0003794944489659,-0.0903689318870363,0.0177816048678403,0.00187537118188208,-0.0896871352637792,0.0197081415865081,0.00589675040034621,1.06494053390138e-05,0
