gene,n_guides,best_day,best_day_among_active,active_days,hit_anyday,max_abs_postmean,min_lfsr,min_lfsr_among_active,guide_min_lfsr_min,median_guide_lfsr_min,gene_postmean_d0,gene_postsd_d0,gene_lfsr_d0,gene_postmean_d1,gene_postsd_d1,gene_lfsr_d1,gene_postmean_d2,gene_postsd_d2,gene_lfsr_d2,gene_postmean_d3,gene_postsd_d3,gene_lfsr_d3
Gene18,6,0,1.0,"d1,d2",True,0.8877886827650117,0.0,0.0,0.0,3.036013735916805e-70,0.189637985158336,0.012094499396303951,0.0,0.23953260986449268,0.017220628999314976,0.0,0.8877886827650117,0.02324915453833129,0.0,0.13726319551739746,0.02931291167446377,1.4156922322206e-06
Gene19,6,1,,,False,0.09693071249623293,8.789635685957364e-13,,0.0,0.00023311839224365817,-0.037874003559327386,0.009906181118426617,6.584675849474753e-05,-0.09693071249623293,0.013744259602426366,8.789635685957364e-13,-0.05518094289769639,0.01735474440249323,0.0007374220434108736,-0.0488531691170887,0.020455919494129744,0.008465177214047714
Gene2,6,2,2.0,d2,True,0.6764554994946472,0.0,0.0,0.0,9.004163400403712e-45,0.05784128355759355,0.012120187917403467,9.106283558324435e-07,0.0942694953859493,0.016485332187222857,5.37702637970483e-09,0.6764554994946472,0.021781443273151395,0.0,0.09181843137227141,0.027345383781142905,0.00039292584355687943
Gene20,6,2,,,False,0.09547493240838185,0.0,,3.3306690738754704e-15,3.4126437242740803e-10,0.05316919973060137,0.00787105853228467,7.140510405179157e-12,0.06393705352055888,0.009271238181196075,2.669087173501339e-12,0.09547493240838185,0.010763098579424571,0.0,0.05148399651560526,0.012772667821343993,2.779433994315461e-05
Gene21,6,1,,,False,0.08286512733855521,0.0,,6.1619670621581895e-30,1.9842403884391358e-14,0.041056862317940125,0.008467763891301232,6.216561838634505e-07,0.08286512733855521,0.00989603189469152,0.0,-0.007727844956597776,0.012279640552319986,0.2645692154563887,-0.03265096658471314,0.014002731824616541,0.009856741727227725
Gene22,6,0,0.0,"d0,d1,d2",True,0.6504416990535917,0.0,0.0,5.32483654337141e-77,1.7897963618623836e-41,0.22351959283671932,0.01280929992284972,0.0,0.6504416990535917,0.018780969627750322,0.0,0.22827605556791863,0.024122360531512392,0.0,0.14115783529623985,0.029341338250226202,7.513132985748072e-07
Gene23,6,0,0.0,d0,True,0.5017750734602434,0.0,0.0,0.0,0.0,-0.5017750734602434,0.013304330376698965,0.0,-0.05277682739026007,0.018962770062238083,0.0026914357152924007,0.09262401279099207,0.023157136893787653,3.169745962244841e-05,0.040707116687749983,0.02770138261644932,0.07084892922348185
Gene24,6,0,,,False,0.1476373419882005,0.0,,6.937250555187781e-47,5.964629422258047e-06,0.10268016844370417,0.008707826261910138,0.0,0.1193316741303784,0.011078057219229226,0.0,0.14114522549482678,0.0152141569295424,0.0,0.1476373419882005,0.01634014632121473,0.0
Gene25,6,1,,,False,0.05594093145132303,5.2699639968567524e-06,,1.19641030985622e-10,0.01640762356621594,0.003332100398271096,0.009023494447057438,0.3559634650299539,0.05594093145132303,0.012697141215132884,5.2699639968567524e-06,0.0188333528090465,0.015877730987987265,0.11778175526061185,0.016913440092871358,0.01856439582141247,0.18112958673780588
Gene26,6,0,3.0,d3,True,0.2004312735292674,0.0,0.0,2.01542121298523e-24,1.32290530780297e-12,0.17683137905464064,0.006164286793004899,0.0,0.17930757902547845,0.007096469442100545,0.0,0.19290083613787953,0.007434209581503353,0.0,0.2004312735292674,0.007990382964716132,0.0
Gene27,6,0,2.0,d2,True,0.21014848039003586,0.0,0.0,1.63596440234532e-25,1.3800045685370216e-10,0.17203664067639368,0.009449581805279533,0.0,0.18881664441044524,0.010953206835353673,0.0,0.21014848039003586,0.012649072297557854,0.0,0.14801842307790194,0.019439181805041325,1.3211653993039363e-14
Gene28,6,0,,,False,0.06685339291555317,0.0,,0.0,4.067920531136691e-05,-0.06615788178879045,0.007378044539664126,0.0,-0.06685339291555317,0.007763004201097912,0.0,-0.06516157394665845,0.008468879830592321,7.105427357601002e-15,-0.06484132854156477,0.0088036064777985,8.837375276016246e-14
Gene29,6,1,,,False,0.0993245910775138,0.0,,1.11022302462516e-16,3.919333384806393e-11,-0.041797190361635476,0.007155116213461846,2.5853875706971507e-09,-0.07290461610999344,0.00805275256772382,0.0,-0.0409355425482554,0.00867218722047068,1.177340305025254e-06,-0.0993245910775138,0.009498431028693492,0.0
Gene3,6,1,1.0,"d1,d3",True,0.7630692759463941,0.0,0.0,0.0,3.2263449377671935e-31,-0.06829755129464586,0.012002089127116854,6.334436863930648e-09,-0.44361235116913134,0.018966717240304312,0.0,-0.052616207019534234,0.02405264231827149,0.014351427061439659,0.7630692759463941,0.031142818174164255,0.0
Gene30,6,0,,,False,0.1255142214977045,0.0,,0.0,1.5193922426712531e-09,-0.0991412794121686,0.007195513673348606,0.0,-0.10647932422785639,0.00843938264485789,0.0,-0.09173927768416977,0.009975905895583297,0.0,-0.1255142214977045,0.009783973792777635,0.0
Gene31,6,0,,,False,0.07428143950152463,0.0,,0.0,5.694372972408504e-17,-0.07428143950152463,0.006132786583749127,0.0,-0.07115060477771264,0.006385650718726466,0.0,-0.0685218701613323,0.00654350890421268,0.0,-0.06143725521794814,0.006802479095166279,0.0
Gene32,6,3,3.0,d3,True,0.4650529709639637,0.0,0.0,0.0,3.882029816652653e-16,0.02412300741852299,0.01280113461152885,0.02975254480011047,0.014306843296536031,0.016534334470201528,0.1934423242948078,0.06363036256212856,0.021850627407672928,0.0017952618475569615,0.4650529709639637,0.027794336612818576,0.0
Gene33,6,1,,,False,0.11322472314089493,0.0,,0.0,9.621203888912818e-12,0.08650355025031048,0.01049587258975182,1.1102230246251565e-16,0.11322472314089493,0.01279719609215613,0.0,0.0661603061705286,0.017268583940188053,6.374627945415767e-05,0.032136641670053576,0.022309702283233274,0.07486606473839352
Gene34,6,2,2.0,d2,True,0.34914218194758095,0.0,0.0,0.0,9.2693848733865e-30,0.10191380318432114,0.012424340772041654,1.1102230246251565e-16,0.09493747093741532,0.016549523466193025,4.830706279435049e-09,-0.34914218194758095,0.021310424259924996,0.0,0.11350669965017886,0.026485472899866826,9.111470246514486e-06
Gene35,6,0,,,False,0.11031659445245753,0.0,,5.90923221101317e-16,4.853308865157564e-07,0.09865211703878947,0.0060289963140997705,0.0,0.10303141354223397,0.006420318968814597,0.0,0.1072247107798509,0.006841152207204059,0.0,0.11031659445245753,0.007580102841280137,0.0
Gene36,6,1,,,False,0.1693100526649663,1.4184764474123313e-12,,6.93853308021592e-21,1.2841259440676848e-05,0.07561805309906816,0.01117217234011972,6.509459637982218e-12,0.10674924608627664,0.015281385423287339,1.4184764474123313e-12,0.056049892508043014,0.020256970242413665,0.0028292278874921806,-0.1693100526649663,0.026312739818391193,6.192890644740601e-11
Gene37,6,0,1.0,d1,True,0.4343125606779632,0.0,0.0,5.0347263690434e-94,9.441197602364155e-19,0.1310077690116235,0.01209235645649149,0.0,0.4343125606779632,0.01768986908046842,0.0,0.07432177210544444,0.022969695443613984,0.0006068418737471548,0.055489613228795955,0.027133812189693556,0.02042567181768712
Gene38,6,2,,,False,0.0780705372002818,5.890145551079584e-06,,8.46860427408817e-39,2.5248270252298245e-08,-0.015100809866550581,0.00984011079306069,0.062438860249375616,-0.04361791685184988,0.014057458343729758,0.0009583954808203288,-0.0780705372002818,0.017817754326131217,5.890145551079584e-06,-0.021619540387907712,0.02114037986650565,0.1532329781080819
Gene39,6,1,,,False,0.07108151634829585,2.5501611253808676e-06,,2.56838362592092e-26,0.009801480390293833,0.024135365739339453,0.009234240395925731,0.004478621211221223,0.06271655776109548,0.013751766506194718,2.5501611253808676e-06,0.07108151634829585,0.01775450485341498,3.119602175849501e-05,0.04123274510085899,0.02011587251166751,0.02019384522791512
Gene4,6,1,,,False,0.10915979215829626,0.0,,0.0,0.003925842717465429,-0.040682317724041094,0.007568928064712995,3.831017492128552e-08,-0.08106573526745371,0.009535662967743818,0.0,-0.05618787035957248,0.01109610439054149,2.0554708268782917e-07,-0.10915979215829626,0.012200865414149362,0.0
Gene40,6,0,3.0,d3,True,0.21010328954902668,0.0,0.0,4.81374735922607e-31,1.6040360334111193e-06,0.15063165878954626,0.0069912767200589155,0.0,0.16622473981141098,0.008105309202209006,0.0,0.17579959076726215,0.00942019983695611,0.0,0.21010328954902668,0.009443106734029242,0.0
Gene41,6,1,,,False,0.12149492052981813,4.9404924595819466e-15,,1.09255660512807e-28,3.565277980621844e-07,0.058386398905189645,0.009728542475068144,9.771735642871704e-10,0.1091542795186112,0.014100932743486509,4.9404924595819466e-15,0.12149492052981813,0.01845438582698079,2.29710694910068e-11,0.0966315916807678,0.02189144879127797,5.070967158293804e-06
Gene42,6,0,,,False,0.1167221537608165,0.0,,0.0,3.890574576739533e-15,-0.1167221537608165,0.006398985471895991,0.0,-0.1055992076448577,0.0067689980334403425,0.0,-0.10842758591172044,0.006897472345341379,0.0,-0.10470232778404664,0.007187986662155646,0.0
Gene43,6,1,,,False,0.08337119847397038,1.1655876264171638e-10,,0.0,6.200180850149158e-09,-0.048949317781375935,0.009847620968514,3.33602017899004e-07,-0.08337119847397038,0.013154662586043794,1.1655876264171638e-10,-0.02607680083631061,0.016608471271901584,0.05819704409419346,-0.06701600825270945,0.02008491505732856,0.00042399786294555764
Gene44,6,0,2.0,d2,True,0.3239216670357586,0.0,0.0,9.3088742815875e-25,2.2696989482441364e-12,0.11471424881752933,0.010806697273232413,0.0,0.10802090874400289,0.014350533381876437,2.5868196473766147e-14,0.3239216670357586,0.01958188937100476,0.0,0.08930197450448801,0.022460201464924376,3.504066274129247e-05
Gene45,6,0,,,False,0.057026172524908283,0.0,,8.55796311529189e-17,5.6453025536963955e-14,-0.057026172524908283,0.00643307692839643,0.0,-0.0313666371178151,0.007410476953779732,1.1542963874844325e-05,-0.056160606671106804,0.0077157640949809874,1.6853185513809876e-13,-0.05581788332434517,0.008300996826510384,8.82560691195522e-12
Gene46,6,1,1.0,d1,True,0.7178917786197654,0.0,0.0,0.0,5.5511151231258e-17,0.019921769574793635,0.011526995916391544,0.04196984962950634,-0.7178917786197654,0.01830367825001973,0.0,0.026282103056822666,0.021404872799283055,0.10975050094235794,0.0643798613347094,0.028066512775295635,0.010900079171969057
Gene47,6,1,1.0,d1,True,0.4055626795858135,0.0,0.0,0.0,2.8230438789456055e-30,-0.006961357411530736,0.009116621565503009,0.22255592451291628,0.4055626795858135,0.014634926225056093,0.0,-0.029635588207352008,0.018573342759008248,0.05528928929501964,-0.046681060140618846,0.023108922093126608,0.021689365373916525
Gene48,6,3,,,False,0.07773779436944199,1.8984813721090177e-14,,0.0,0.00048001227386516854,0.03638488781568635,0.007207757107666766,2.232085161146813e-07,0.041175326307802705,0.008607260520416677,8.601022771226319e-07,0.043011777418494476,0.009867726523902826,6.537875763656942e-06,0.07773779436944199,0.01027189554144992,1.8984813721090177e-14
Gene49,6,0,0.0,d0,True,0.3712318647541535,0.0,0.0,7.82095701621177e-61,1.0786937250412424e-30,0.3712318647541535,0.011946601923354372,0.0,0.13124137070795353,0.01689590782026347,3.9968028886505635e-15,0.07728885549258313,0.02148566299372952,0.00016081249578481227,0.06858798369465773,0.025747572752334545,0.0038624609306312507
Gene5,6,2,,,False,0.04297418867645494,3.3840358854009267e-07,,4.30571794381242e-17,0.0008760863481649,0.032386625116842156,0.0067285129687482,7.42139734000169e-07,0.028014118761692738,0.008063493189489157,0.00025619768695744893,0.04297418867645494,0.008650367494279861,3.3840358854009267e-07,0.04056439676770014,0.009809803069884195,1.7740949441291676e-05
Gene50,6,0,,,False,0.04081165607701042,1.513793691509946e-07,,1.88737914186277e-15,2.5761616893477844e-09,-0.04081165607701042,0.007968347293335317,1.513793691509946e-07,-0.017449492152731564,0.009966426918110836,0.039987832837147685,0.02033712491650087,0.013552259992920559,0.06672376278912678,-0.004653508949229208,0.013495582519027154,0.3651159015150245
Gene51,6,0,0.0,"d0,d2,d3",True,0.6466449269686648,0.0,0.0,0.0,0.0,0.206528936941981,0.012458509073108586,0.0,0.14965898915732992,0.017093822316976662,0.0,-0.6466449269686648,0.02285620873724766,0.0,0.22397036202060833,0.029222579838890726,8.992806499463768e-15
Gene52,6,1,1.0,"d1,d3",True,0.5697663616875687,0.0,0.0,6.46703163390605e-79,2.90164575221641e-23,0.08521253255483914,0.013092313932053255,3.7929159812932767e-11,0.5697663616875687,0.01882382801203127,0.0,-0.055154831922512866,0.02616622013242902,0.017521379983735708,0.48949580659179887,0.03080993147553155,0.0
Gene53,6,0,,,False,0.1372151354439675,0.0,,0.0,1.4127593906813846e-13,0.1049335859168415,0.00869346895652734,0.0,0.13295564992474115,0.01352703411549505,0.0,0.12200676154645751,0.014659790135127313,5.551115123125783e-17,0.1372151354439675,0.018056173845405938,1.4876988529977098e-14
Gene54,6,3,,,False,0.0409489720676689,0.007691722613328289,,0.0,1.6249315226703769e-09,0.02122765182226068,0.009720399436126416,0.014487552924684566,-0.02006054682178311,0.013907051475491136,0.07458448588784028,-0.037346422423919855,0.01667252564312225,0.012545529611173167,-0.0409489720676689,0.01689855127885274,0.007691722613328289
