guide,gene,betahat_d0,betahat_d1,betahat_d2,betahat_d3,se_d0,se_d1,se_d2,se_d3
g22,Gene22,0.20452279,0.6326247,0.21161407,0.12582585,0.021763852,0.03147418,0.0403414,0.04876216
g220,Gene20,0.16494082,0.1727406,0.20539047,0.17089693,0.020207608,0.027876414,0.034711145,0.044412635
g221,Gene21,0.027343713,0.059211906,0.023676643,0.016404655,0.018420363,0.026317399,0.033692174,0.039803244
g222,Gene22,0.17148803,0.59958965,0.17857921,0.09279115,0.021340324,0.031284902,0.040299777,0.049108837
g223,Gene23,-0.34042972,0.11638042,0.26165378,0.21087557,0.021821225,0.031402312,0.038073912,0.0455706
g224,Gene24,0.18626326,0.17249689,0.23337208,0.21769987,0.019385984,0.026793007,0.034963973,0.04209402
g225,Gene25,-0.023275573,0.035556275,-0.003594363,-0.0036374696,0.019269211,0.027666833,0.035887048,0.04325891
g226,Gene26,0.24652183,0.23536478,0.25826448,0.28695527,0.017212486,0.026360456,0.03367335,0.042651694
g227,Gene27,0.21557073,0.2214921,0.23640959,0.17213954,0.019651325,0.026234232,0.034309436,0.042663824
g228,Gene28,-0.0035421704,0.0006657882,0.018282315,0.022787899,0.020539928,0.027203059,0.03524776,0.04175426
g229,Gene29,0.07481491,0.061760064,0.08465234,0.047254495,0.018978918,0.025980033,0.032753244,0.03989794
g23,Gene23,-0.78386205,-0.32705295,-0.18177961,-0.2325577,0.022233171,0.03113414,0.038552985,0.046259344
g230,Gene30,-0.1406026,-0.13469468,-0.10840548,-0.1418584,0.019312076,0.029318485,0.037319914,0.043548938
g231,Gene31,-0.24759932,-0.23422284,-0.2303792,-0.21156195,0.01920475,0.02731096,0.03609251,0.04450046
g232,Gene32,0.07992628,0.07068735,0.12683979,0.5350028,0.020076105,0.027040426,0.034016363,0.04369616
g233,Gene33,0.18541998,0.20763263,0.17381208,0.12920167,0.019083764,0.026833188,0.035123013,0.042523883
g234,Gene34,-0.11310309,-0.12181296,-0.56718475,-0.10627277,0.019975515,0.026806189,0.034874175,0.043302868
g235,Gene35,0.19149718,0.19064099,0.18983647,0.17692325,0.018465491,0.025950775,0.03372829,0.042876545
g236,Gene36,0.2138773,0.24612005,0.19241227,-0.039854664,0.018426016,0.025538983,0.033532508,0.04312495
g237,Gene37,0.5987344,0.9017755,0.5415036,0.5228127,0.020330623,0.029347222,0.03793795,0.044857472
g238,Gene38,-0.108333215,-0.1416098,-0.18229762,-0.13589326,0.018579723,0.026314184,0.032825224,0.041867215
g239,Gene39,-0.0032928318,0.047690436,0.066595815,0.038461782,0.018787792,0.026920944,0.035967607,0.044089176
g24,Gene24,0.122268,0.10850189,0.16937709,0.15370478,0.019518236,0.027316585,0.03553187,0.042589117
g240,Gene40,0.32367423,0.31124154,0.29379672,0.3292946,0.019650573,0.027350103,0.035104726,0.04278433
g241,Gene41,0.25755727,0.3251368,0.34721333,0.32854265,0.01886971,0.026797025,0.035097387,0.042606823
g242,Gene42,-0.2010828,-0.17637889,-0.18427339,-0.17637534,0.020102335,0.026926793,0.035652444,0.044956915
g243,Gene43,0.14330836,0.104817934,0.16355434,0.11202219,0.018792624,0.02524789,0.032359652,0.040125374
g244,Gene44,0.14452887,0.15186377,0.36911148,0.13999055,0.018929584,0.025576966,0.034303606,0.0401216
g245,Gene45,0.19541937,0.21817225,0.19729094,0.20107685,0.01917683,0.026360666,0.03425773,0.04155797
g246,Gene46,0.22732294,-0.50527024,0.24080168,0.29238257,0.019348457,0.03230199,0.04199372,0.049699754
g247,Gene47,0.12852438,0.538817,0.09828659,0.07509783,0.01904729,0.02872356,0.037675343,0.04525984
g248,Gene48,-0.081569865,-0.10106275,-0.12006197,-0.08955916,0.018142207,0.025777217,0.032715168,0.04072164
g249,Gene49,0.3930688,0.15135963,0.09606153,0.08631121,0.019486815,0.02764817,0.035126533,0.04233403
g25,Gene25,-0.0008046911,0.05802716,0.018876523,0.018833421,0.018754972,0.02721978,0.03522524,0.042577486
g250,Gene50,0.05468329,0.06793735,0.1056543,0.081897445,0.018435156,0.02549497,0.03300523,0.041778274
g251,Gene51,0.043033566,-0.012275906,-0.81475085,0.053691108,0.020454237,0.028025376,0.03786366,0.04860353
g252,Gene52,-0.10805063,0.38112116,-0.24050348,0.3074909,0.02219006,0.03161368,0.043951064,0.052022282
g253,Gene53,0.123823576,0.17011884,0.14864264,0.1839341,0.019182628,0.026633,0.03650175,0.043672938
g254,Gene54,-0.28169253,-0.32555434,-0.349801,-0.34598282,0.020557083,0.027546491,0.035032604,0.041529957
g255,Gene55,0.20269288,0.18859601,0.14600053,0.16220057,0.018833548,0.025404617,0.03374746,0.041664675
