gene,betahat_d0,betahat_d1,betahat_d2,betahat_d3,se_d0,se_d1,se_d2,se_d3,postmean_d0,lfsr_d0,postmean_d1,lfsr_d1,postmean_d2,lfsr_d2,postmean_d3,lfsr_d3,lfsr_min,best_day
Gene19,-0.13755216,-0.26468623,-0.26043206,-0.31845254,0.08245929,0.117737405,0.14948761,0.18098411,-0.182760818544112,0.014588730396575,-0.192795457893283,0.0131015728841301,-0.19161453761995,0.0147919040287648,-0.193500838116507,0.0151513253951366,0.0131015728841301,1
Gene2,0.14520706,0.32862577,0.37062603,0.20707116,0.0825012,0.11036015,0.1439119,0.1837673,0.207585064914992,0.00378678739529536,0.229523189944559,0.00159327520664346,0.230648196909296,0.00208204173679452,0.216826305508341,0.00860340468053514,0.00159327520664346,1
Gene20,0.08815434,0.19340697,0.14462323,-0.011509847,0.07543875,0.106172375,0.12848791,0.16793494,0.0703022235097417,0.345298044545828,0.0743917624280565,0.341930994957741,0.0722767501848128,0.346425988051481,0.0680895275266707,0.359151441152795,0.341930994957741,1
Gene21,-0.09685877,-0.16874881,-0.24336289,-0.39286077,0.08026946,0.09839917,0.120535426,0.15344644,-0.156812894368787,0.024434468371215,-0.164554084379325,0.0200602816192182,-0.17070827772019,0.018995953978884,-0.1791159262524,0.0181052462506917,0.0181052462506917,3
Gene22,-0.01815118,-0.03288198,-0.19419467,-0.35352316,0.07465406,0.11464215,0.15096879,0.18895519,-0.023726928603951,0.674962945874075,-0.0250252340051739,0.673133272510255,-0.029636449225478,0.664041251400528,-0.0321659698780279,0.662028295926136,0.662028295926136,3
Gene23,0.04396715,0.14016904,0.085368216,-0.003982505,0.0786699,0.11111434,0.1463779,0.17916086,0.0210485529698246,0.708431107389917,0.0227674449692379,0.704774762956689,0.021740590387584,0.708565465824586,0.0207369439052527,0.712100390319754,0.704774762956689,1
Gene24,0.20141783,0.3885521,0.5278617,0.56132066,0.07585558,0.10845289,0.1452974,0.172722,0.2743001779187,0.000176173612816995,0.332397852778726,1.22446914413918e-05,0.357414034334577,2.23002037345013e-05,0.356006609104355,9.02573938531236e-05,1.22446914413918e-05,1
Gene25,-0.15101443,-0.31745833,-0.46935287,-0.80303603,0.079713956,0.117435195,0.13910936,0.18004595,-0.219801220670042,0.00254079064596979,-0.310711256692395,0.000316107203069294,-0.365529083869533,7.72775140585047e-05,-0.441611720460406,1.57338811642704e-05,1.57338811642704e-05,3
Gene26,0.09811591,0.24034406,0.42069685,0.51677305,0.07892478,0.110596605,0.14406943,0.17747693,0.178838734816032,0.0135464957936896,0.219397191007399,0.00341474101195069,0.252107681174548,0.00216512773751057,0.258936786801162,0.00249054322678565,0.00216512773751057,2
Gene27,-0.0903895,-0.13319947,-0.123375505,-0.14495635,0.08172965,0.11799179,0.14660884,0.18181112,-0.0588754588642095,0.443186835362197,-0.0600857549702,0.443400420924339,-0.0597266234731155,0.445555850177472,-0.0599861672873157,0.446181547624528,0.443186835362197,0
