guide,gene,betahat_d0,betahat_d1,betahat_d2,betahat_d3,se_d0,se_d1,se_d2,se_d3,postmean_d0,lfsr_d0,postmean_d1,lfsr_d1,postmean_d2,lfsr_d2,postmean_d3,lfsr_d3,lfsr_min,best_day
g19,Gene19,-0.22598244,-0.35675535,-0.34651214,-0.40342548,0.13203873,0.15725912,0.18045169,0.20839468,-0.292865832387972,0.000209216865191375,-0.292865832387972,0.000209216865191375,-0.292865832387972,0.000209216865191375,-0.292865832387972,0.000209216865191375,0.000209216865191375,0
g2,Gene2,0.3370553,0.5244762,0.5665295,0.41166744,0.1372181,0.15471196,0.1783556,0.21474305,0.421511538875237,1.51271350642802e-07,0.421511538875237,1.51271350642802e-07,0.421511538875237,1.51271350642801e-07,0.421511538875237,1.51271350642802e-07,1.51271350642801e-07,2
g20,Gene20,-0.024788493,0.07225877,0.014928231,-0.1253237,0.11715444,0.14852037,0.16164303,0.18999915,-0.00655677343065088,0.518295544104739,-0.00655677343065088,0.518295544104739,-0.00655677343065088,0.518295544104739,-0.00655677343065088,0.518295544104739,0.518295544104739,0
g21,Gene21,-0.1077012,-0.17957142,-0.25429574,-0.39079908,0.1349043,0.16528542,0.17382944,0.2034419,-0.189827318571908,0.0141045824688133,-0.189827318571908,0.0141045824688133,-0.189827318571908,0.0141045824688133,-0.189827318571908,0.0141045824688134,0.0141045824688133,0
g22,Gene22,-0.118976496,-0.13205695,-0.28118768,-0.4494067,0.13600555,0.15009278,0.17714237,0.21614885,-0.189674484972399,0.0134632251265419,-0.189674484972399,0.0134632251265417,-0.189674484972399,0.0134632251265419,-0.189674484972399,0.0134632251265417,0.0134632251265417,1
g23,Gene23,0.014657969,0.112947136,0.066496186,-0.018450707,0.12714005,0.15349707,0.17393652,0.19710924,0.0389767391131283,0.350917808541928,0.0389767391131283,0.350917808541928,0.0389767391131283,0.350917808541928,0.0389767391131283,0.350917808541928,0.350917808541928,0
g24,Gene24,0.5398573,0.710773,0.85263944,0.884039,0.12945642,0.15748174,0.1778912,0.20243543,0.66178606489258,3.39519337776909e-17,0.66178606489258,3.39519337776903e-17,0.66178606489258,3.39519337776914e-17,0.66178606489258,3.39519337776916e-17,3.39519337776903e-17,1
g25,Gene25,-0.6068669,-0.7750051,-0.9218655,-1.2444317,0.13776252,0.16389856,0.18311584,0.20923753,-0.770993624182425,0,-0.770993624182425,0,-0.770993624182425,0,-0.770993624182425,0,0,0
g26,Gene26,0.1897052,0.33363557,0.5174511,0.61387604,0.1290952,0.15937342,0.18478617,0.21253593,0.331261095162853,3.00213632392504e-05,0.331261095162853,3.00213632392506e-05,0.331261095162853,3.00213632392506e-05,0.331261095162853,3.00213632392506e-05,3.00213632392504e-05,0
g27,Gene27,-0.20592624,-0.24642064,-0.24795313,-0.27722794,0.121228136,0.14384732,0.16301064,0.19864753,-0.222947923365314,0.00215261065934602,-0.222947923365314,0.00215261065934591,-0.222947923365314,0.00215261065934591,-0.222947923365314,0.00215261065934591,0.00215261065934591,1
