guide,gene,betahat_d0,betahat_d1,betahat_d2,betahat_d3,se_d0,se_d1,se_d2,se_d3,postmean_d0,lfsr_d0,postmean_d1,lfsr_d1,postmean_d2,lfsr_d2,postmean_d3,lfsr_d3,lfsr_min,best_day
g19,Gene19,-0.22598244,-0.35675535,-0.34651214,-0.40342548,0.13203873,0.15725912,0.18045169,0.20839468,-0.296308242519611,0.00163059609991678,-0.296308242519611,0.00163059609991678,-0.296308242519611,0.00163059609991678,-0.296308242519611,0.00163059609991678,0.00163059609991678,0
g2,Gene2,0.3370553,0.5244762,0.5665295,0.41166744,0.1372181,0.15471196,0.1783556,0.21474305,0.427706357905876,1.20196299857086e-06,0.427706357905876,1.20196299857086e-06,0.427706357905876,1.20196299857086e-06,0.427706357905876,1.20196299857086e-06,1.20196299857086e-06,1
g20,Gene20,-0.024788493,0.07225877,0.014928231,-0.1253237,0.11715444,0.14852037,0.16164303,0.18999915,-0.00258699302525448,0.811734126438742,-0.00258699302525448,0.811734126438742,-0.00258699302525448,0.811734126438742,-0.00258699302525448,0.811734126438742,0.811734126438742,0
g21,Gene21,-0.1077012,-0.17957142,-0.25429574,-0.39079908,0.1349043,0.16528542,0.17382944,0.2034419,-0.177369267239171,0.0900864088426958,-0.177369267239171,0.0900864088426958,-0.177369267239171,0.0900864088426959,-0.177369267239171,0.0900864088426959,0.0900864088426958,0
g22,Gene22,-0.118976496,-0.13205695,-0.28118768,-0.4494067,0.13600555,0.15009278,0.17714237,0.21614885,-0.177691450459723,0.0869073111865211,-0.177691450459723,0.0869073111865211,-0.177691450459723,0.086907311186521,-0.177691450459723,0.086907311186521,0.086907311186521,2
g23,Gene23,0.014657969,0.112947136,0.066496186,-0.018450707,0.12714005,0.15349707,0.17393652,0.19710924,0.0172379155792988,0.715681621983082,0.0172379155792988,0.715681621983082,0.0172379155792988,0.715681621983082,0.0172379155792988,0.715681621983082,0.715681621983082,0
g24,Gene24,0.5398573,0.710773,0.85263944,0.884039,0.12945642,0.15748174,0.1778912,0.20243543,0.672131943967739,2.26862323192521e-16,0.672131943967739,2.26862323192521e-16,0.672131943967739,2.26862323192521e-16,0.672131943967739,2.26862323192521e-16,2.26862323192521e-16,1
g25,Gene25,-0.6068669,-0.7750051,-0.9218655,-1.2444317,0.13776252,0.16389856,0.18311584,0.20923753,-0.783832266364713,0,-0.783832266364713,0,-0.783832266364713,0,-0.783832266364713,0,0,0
g26,Gene26,0.1897052,0.33363557,0.5174511,0.61387604,0.1290952,0.15937342,0.18478617,0.21253593,0.335692698578715,0.000238368070752285,0.335692698578715,0.000238368070752285,0.335692698578715,0.000238368070752285,0.335692698578715,0.000238368070752285,0.000238368070752285,1
g27,Gene27,-0.20592624,-0.24642064,-0.24795313,-0.27722794,0.121228136,0.14384732,0.16301064,0.19864753,-0.222080515560629,0.0165764992783244,-0.222080515560629,0.0165764992783243,-0.222080515560629,0.0165764992783243,-0.222080515560629,0.0165764992783243,0.0165764992783243,1
g28,Gene28,-0.30858,-0.43555015,-0.59165764,-0.87139344,0.13824764,0.16229448,0.18907855,0.21376717,-0.462675764127242,2.46345072341114e-07,-0.462675764127242,2.46345072341114e-07,-0.462675764127242,2.46345072341114e-07,-0.462675764127242,2.46345072341114e-07,2.46345072341114e-07,0
