gene,n_guides,best_day,best_day_among_active,active_days,hit_anyday,max_abs_postmean,min_lfsr,min_lfsr_among_active,guide_min_lfsr_min,median_guide_lfsr_min,gene_postmean_d0,gene_postsd_d0,gene_lfsr_d0,gene_postmean_d1,gene_postsd_d1,gene_lfsr_d1,gene_postmean_d2,gene_postsd_d2,gene_lfsr_d2,gene_postmean_d3,gene_postsd_d3,gene_lfsr_d3,lfsr_min
Gene72,6,0,0.0,"d0,d1",True,0.6036632494729595,0.0,0.0,3.49177744253918e-122,1.08981050996327e-55,0.6036632494729595,0.0142710439378609,0.0,0.2344769278153129,0.018329576162532,0.0,0.1052447927190686,0.0225536374748249,1.5324487080414784e-06,0.1259827960046941,0.0272518207458181,1.8919423758201328e-06,0.0
Gene70,6,1,1.0,d1,True,0.5966932150415162,0.0,0.0,0.0,0.0,-0.0475837274943894,0.0118956630034666,3.165914450165008e-05,-0.5966932150415162,0.0187203420133067,0.0,-0.0419148724493181,0.0239894709130636,0.0402996313474541,0.0329253183118778,0.0285401808672226,0.1243222860695359,0.0
Gene52,6,1,1.0,"d1,d3",True,0.5857453119586602,0.0,0.0,9.81071969423792e-86,2.56758990003318e-23,0.0708409025467089,0.0132544240623003,4.5283798100204116e-08,0.5857453119586602,0.0191500364101896,0.0,-0.0473717420062973,0.0264359111823677,0.0365707575993659,0.4975024132051129,0.0318742239063389,0.0,0.0
Gene74,6,1,1.0,d1,True,0.5745444431544329,0.0,0.0,0.0,9.131257058498949e-36,0.0236270665798961,0.0130202908008586,0.0347900621134474,-0.5745444431544329,0.0198399720611137,0.0,0.1318508550695774,0.0250447238670263,7.024132164801244e-08,0.1386399519657783,0.029173924204787,1.00613918363468e-06,0.0
Gene23,6,0,0.0,d0,True,0.4949745282011378,0.0,0.0,0.0,0.0,-0.4949745282011378,0.0134042419303424,0.0,-0.0252317888064766,0.0193704743925227,0.0963573641635791,0.0933071526454449,0.0234716932508094,3.514447591235204e-05,0.0486546309278746,0.0279952552657123,0.0411089402587056,0.0
Gene60,6,0,0.0,d0,True,0.4668594169723477,0.0,0.0,0.0,0.0,-0.4668594169723477,0.0133897894378941,0.0,-0.019569236802715,0.0180974902742926,0.1397766767855328,0.0733039292784992,0.02249150982511,0.0005586693544016,0.0604850211357193,0.0267007198392136,0.0117472752741976,0.0
Gene32,6,3,3.0,d3,True,0.446200921530996,0.0,0.0,0.0,4.264840843477948e-17,0.0117039537866397,0.0128419820230756,0.1810470153746565,0.0074550023467403,0.0155489974718602,0.3158084530764152,0.0464586663948932,0.0213745920482597,0.0148696108878424,0.446200921530996,0.0262106448904944,0.0,0.0
Gene47,6,1,1.0,d1,True,0.4191337967010122,0.0,0.0,0.0,1.9273509222402595e-28,-0.0044875073606243,0.0053438603287777,0.200524252489707,0.4191337967010122,0.0115882230540545,0.0,-0.0098831807932138,0.0108725229137265,0.1816736679670054,-0.0157387809957615,0.0138681650800596,0.1282116248417631,0.0
Gene7,6,3,3.0,d3,True,0.416712298383088,0.0,0.0,0.0,2.4331370251928797e-11,0.000802669278165,0.0038152914465093,0.4166847053560376,0.0020138477369135,0.0049817919596483,0.3430175192143204,0.0030067032684539,0.006285859393787,0.3162083446823192,-0.416712298383088,0.0124176932420849,0.0,0.0
Gene37,6,0,1.0,d1,True,0.4120186125670854,0.0,0.0,7.483861902285021e-88,5.718577214304893e-17,0.1112409783765932,0.0122952553127356,0.0,0.4120186125670854,0.0172577550886009,0.0,0.059613729930227,0.022607664559536,0.0041836041288258,0.0547751606747641,0.0253477313711317,0.0153496305899203,0.0
Gene84,6,1,1.0,d1,True,0.4009643721187038,0.0,0.0,3.17454185476618e-46,1.8721905112522692e-19,0.096398096730884,0.0129230983042668,4.3465231414074885e-14,0.4009643721187038,0.0187360972975542,0.0,0.0683959838953305,0.0235768643249146,0.0018599951437222,0.0246910048192134,0.0283375486802127,0.191790382453559,0.0
Gene49,6,0,0.0,d0,True,0.3675223764434199,0.0,0.0,1.2771675539478898e-49,2.067741260704597e-28,0.3675223764434199,0.0125754606897238,0.0,0.1165443495029108,0.0173348441401855,8.893330516457354e-12,0.0698638948668576,0.0215962764446398,0.0006082195159901,0.0636817071578481,0.0257246356126394,0.0066522189055279,0.0
Gene34,6,0,2.0,d2,True,0.3586583828727744,0.0,0.0,0.0,2.207040073501635e-31,0.1022698783086687,0.012239215118402,0.0,0.0771826835774541,0.0163841437352905,1.2336356521869265e-06,-0.3586583828727744,0.0218613411193773,0.0,0.101263876996602,0.0275573279477928,0.0001190820570838,0.0
Gene44,6,0,2.0,d2,True,0.3302853618424471,0.0,0.0,9.065286234097781e-24,7.777300853294538e-12,0.110659718120139,0.0113211987630808,0.0,0.1012150298294445,0.0146715538964462,2.623568029491708e-12,0.3302853618424471,0.0188253287089965,0.0,0.0897121806636318,0.0217991665627495,1.932584768471468e-05,0.0
Gene63,6,0,0.0,d0,True,0.2856726626786993,0.0,0.0,5.676788588994981e-58,1.09707590507721e-11,0.2856726626786993,0.0124511753735665,0.0,0.0099977402018343,0.0175787209248215,0.2847659426066898,0.0537877453416499,0.0220829473734794,0.0074312140186603,0.0437610464855265,0.02662026711757,0.0500984713338507,0.0
Gene14,6,0,0.0,"d0,d1,d2,d3",True,0.2415365919105168,0.0,0.0,5.13250853839353e-63,0.0218650510685826,0.1585291051264887,0.0087492925781738,0.0,0.1993750468925751,0.0106409752535509,0.0,0.2364803736578933,0.0130518472366108,0.0,0.2415365919105168,0.014855574131901,0.0,0.0
Gene9,6,0,0.0,d0,True,0.2394891101639095,0.0,0.0,3.45543826497508e-49,1.2757075859215626e-14,0.2394891101639095,0.0123195318265972,0.0,0.0499109530663958,0.0172775165879036,0.001933694628582,-0.0453267443775124,0.0220195438459565,0.0197721402916926,0.0579566297067817,0.0261429247071742,0.0133144662434258,0.0
Gene12,6,0,0.0,"d0,d1,d2,d3",True,0.2210186307173782,0.0,0.0,8.47724468745175e-35,7.300476488901104e-06,0.1682777712337188,0.0091009501265412,0.0,0.1649140590785233,0.0123705713616674,0.0,0.2210186307173782,0.0122745239416317,0.0,0.1882133293903404,0.0160572412019806,0.0,0.0
Gene59,6,0,2.0,"d2,d3",True,0.2081627412704189,0.0,0.0,4.79460530495823e-45,3.624127291750309e-13,0.1327412386699226,0.0082226673654395,0.0,0.1376613342900835,0.0084890951801576,0.0,0.1994988490071642,0.009902767977241,0.0,0.2081627412704189,0.0103583729471015,0.0,0.0
Gene77,6,0,1.0,"d1,d2,d3",True,0.2004137774207208,0.0,0.0,0.0,0.0015071240237774,-0.1185713106355899,0.0067830640188423,0.0,-0.170454534994267,0.0078601889001422,0.0,-0.1727681040105969,0.0080928290853677,0.0,-0.2004137774207208,0.0087543102430544,0.0,0.0
Gene40,6,0,2.0,"d2,d3",True,0.1926537271898415,0.0,0.0,1.42297939659273e-23,1.8474458731125503e-06,0.1356754853136496,0.0078651082499795,0.0,0.1466582798569238,0.0090132025822214,0.0,0.1582007532613411,0.0099369833464261,0.0,0.1926537271898415,0.0102363156308099,0.0,0.0
Gene13,6,0,1.0,"d1,d2,d3",True,0.1900711825339758,0.0,0.0,2.3915825489679703e-47,0.0067169143916063,0.1496040017700183,0.0068615471655805,0.0,0.1683676321837637,0.0077328583790218,0.0,0.1768320901494427,0.0081312011243182,0.0,0.1900711825339758,0.00875352169756,0.0,0.0
Gene27,6,0,1.0,"d1,d2",True,0.1842425725746156,0.0,0.0,2.4418629473516e-22,4.552151001940873e-09,0.1425259329611211,0.0110546490401574,0.0,0.1519507600321838,0.0133128388556872,0.0,0.1842425725746156,0.0157627350989346,0.0,0.1043351020012669,0.021978211056779,1.031227798597989e-06,0.0
Gene26,6,0,0.0,"d0,d1,d2,d3",True,0.1841044560719351,0.0,0.0,1.2293525283878101e-21,3.7673511212202783e-11,0.164100330802625,0.0067903562205411,0.0,0.1679073658420183,0.007135867812673,0.0,0.1753518064113785,0.0075107809060375,0.0,0.1841044560719351,0.0079203739170452,0.0,0.0
Gene17,6,0,0.0,d0,True,0.1649956085490634,0.0,0.0,1.47930985699669e-28,3.98978626762293e-10,0.1649956085490634,0.010710826780673,0.0,0.0873240853922305,0.0145212528725198,9.07594721599736e-10,0.0603568124029189,0.0183507972657074,0.0005026188822889,0.1062156732179078,0.0217945632331158,5.482079878937896e-07,0.0
Gene88,6,0,3.0,d3,True,0.1613963982577109,0.0,0.0,8.54517446729765e-58,1.955054369939812e-05,0.11979547315807,0.006737213246362,0.0,0.1321834523926239,0.0070378774367027,0.0,0.1444851839425151,0.0073284781032803,0.0,0.1613963982577109,0.0076900952051619,0.0,0.0
Gene73,6,0,2.0,d2,True,0.1555486695929495,0.0,0.0,0.0,1.62433087841026e-09,0.0994978329206963,0.0079691948269011,0.0,0.1210796810003447,0.0088819377010519,0.0,0.1555486695929495,0.0100453230894712,0.0,0.1380823814747405,0.0102462060157633,0.0,0.0
Gene53,6,0,3.0,d3,True,0.154792060055348,0.0,0.0,0.0,2.7922949696275985e-12,0.1190157495403273,0.0081535306646089,0.0,0.1490563765470198,0.0110954824385323,0.0,0.143113044416213,0.0118292882901566,0.0,0.154792060055348,0.0141871677564823,0.0,0.0
Gene56,6,0,1.0,d1,True,0.1511295868314739,0.0,0.0,5.25292008308025e-27,1.4642237223069258e-08,0.099382831757975,0.0091185556463787,0.0,0.1511295868314739,0.0125384703090924,0.0,0.1447412098521867,0.014723665286205,0.0,0.126387363169115,0.0173511154784898,1.6187051699034782e-13,0.0
Gene36,6,3,3.0,d3,True,0.1779517753629714,3.652633751016765e-14,3.652633751016765e-14,6.02818206723987e-19,9.788218187090094e-07,0.0763819257329416,0.0115353828513701,1.7774559601946294e-11,0.0923750158493879,0.0149552884070688,3.271813930894041e-10,0.0542847449864329,0.0199883490026866,0.0033055990663687,-0.1779517753629714,0.0237828683761404,3.652633751016765e-14,3.652633751016765e-14
Gene55,6,0,,,False,0.1499064018626446,0.0,,5.87278147631867e-18,4.548476716758182e-09,0.1499064018626446,0.0119207956738709,0.0,0.1380205720282113,0.0160676165081673,0.0,0.103651915325091,0.0228451222529353,2.8508776725999496e-06,0.1289608758495143,0.0231457504271176,1.2614221556184192e-08,0.0
Gene61,6,0,,,False,0.141769363820432,0.0,,1.98632493372224e-31,0.0006225280307138,0.1191148503309834,0.0078696588410905,0.0,0.1306801458349229,0.0082916241167949,0.0,0.1350389371915387,0.0094820728118363,0.0,0.141769363820432,0.0099066789779286,0.0,0.0
Gene93,6,1,,,False,0.1348000825864114,0.0,,0.0,2.0009629024679066e-05,0.075677611443454,0.0096059956862688,1.6653345369377348e-15,0.1348000825864114,0.0123997792829747,0.0,0.082477933082603,0.015389965276673,4.179516965852059e-08,0.0689313226256346,0.0181932008824686,7.567290311594199e-05,0.0
Gene24,6,0,,,False,0.1313788714878221,0.0,,1.71003351609615e-39,1.0921033442143317e-06,0.1000446236375369,0.0093989270847741,0.0,0.100204037910406,0.0125660337189015,7.771561172376097e-16,0.1300093231612668,0.0161500516257368,4.440892098500626e-16,0.1313788714878221,0.0179540505260914,1.2634338020234281e-13,0.0
Gene41,6,1,,,False,0.1305143680343615,1.511013536514838e-13,,9.96066290436208e-26,1.82376925644264e-06,0.0567469792598372,0.0109933075552889,1.2219081368947118e-07,0.1119828642788803,0.0153539324993777,1.511013536514838e-13,0.1305143680343615,0.01902144983546,3.408717752506618e-12,0.1050125133504573,0.0231328187848985,2.8187634341647616e-06,1.511013536514838e-13
Gene33,6,1,,,False,0.1167024198429151,0.0,,0.0,6.724268482987474e-10,0.0833927720835551,0.0107920807772179,5.495603971894525e-15,0.1167024198429151,0.0129620803477969,0.0,0.0730614696610416,0.0169764963038515,8.39907373473281e-06,0.0341957982660608,0.0216076224974266,0.0567585752630457,0.0
Gene65,6,0,,,False,0.1165206291445673,0.0,,4.25956146634722e-13,3.90623018737998e-05,0.0866255290260134,0.0083361550494004,0.0,0.1131296909093265,0.0095047086854084,0.0,0.1165206291445673,0.0108691707550261,0.0,0.0973982657916538,0.0134689498231217,2.391420395042587e-13,0.0
Gene69,6,2,,,False,0.1162987467619577,3.725020292222325e-12,,1.90998386755431e-36,8.95261429593047e-15,0.0501002173764078,0.0100036054989214,2.746842738821087e-07,0.0318092901022677,0.0125374061990263,0.0055879401672119,0.1162987467619577,0.0169810322278073,3.725020292222325e-12,0.0764285331897378,0.0178739516951788,9.515218387545764e-06,3.725020292222325e-12
Gene30,6,0,,,False,0.1141706771598387,0.0,,1.11022302462516e-16,2.4238179833255357e-08,-0.0898626243827619,0.0071912256280723,0.0,-0.0969669855893654,0.0081590923507437,0.0,-0.0882213002960938,0.0096919409874893,0.0,-0.1141706771598387,0.0096978644377657,0.0,0.0
Gene42,6,0,,,False,0.1099608328491092,0.0,,0.0,1.4149954402942942e-15,-0.1099608328491092,0.0066875429570654,0.0,-0.1058290353560196,0.0068497916382116,0.0,-0.103995144680559,0.006987630100875,0.0,-0.105315996198703,0.0070818623740609,0.0,0.0
Gene85,6,0,,,False,0.1014639482687147,0.0,,0.0,1.6052379421548732e-20,0.097527498532711,0.007043783604336,0.0,0.1014639482687147,0.0074815668056091,0.0,0.0873372381431349,0.0083152014945701,0.0,0.0997949693361918,0.0083719816495194,0.0,0.0
Gene19,6,1,,,False,0.0969558379171057,1.2402745497297474e-11,,0.0,0.000256375039313,-0.0247928789454805,0.0105921595251845,0.0096242726947068,-0.0969558379171057,0.0145262785807881,1.2402745497297474e-11,-0.0609638569475205,0.0180690905645148,0.0003705152841553,-0.0493624152966509,0.02155551622485,0.0110102776031215,1.2402745497297474e-11
Gene35,6,0,,,False,0.09494442778544,0.0,,5.4112819811713404e-14,3.05390057886766e-06,0.0866344430489852,0.0066137445577979,0.0,0.0893955322189618,0.0071638860186633,0.0,0.0931268236569823,0.0074152836547799,0.0,0.09494442778544,0.0082776956258185,0.0,0.0
Gene83,6,0,,,False,0.0941411722050684,0.0,,0.0,7.980075619036966e-09,-0.0941411722050684,0.0105572051740073,0.0,-0.0533061444904293,0.0135715912352583,4.286784224394325e-05,-0.027444965031134,0.0177334200752409,0.0608543971956856,-0.0595151428692286,0.0212385547421364,0.0025375977288663,0.0
Gene20,6,2,,,False,0.09390308398293,0.0,,3.5527136788005e-15,1.5330671911583678e-10,0.0529657777662546,0.0076438963659817,2.116751218750324e-12,0.0658904527759735,0.0090776890709747,1.957323192414151e-13,0.09390308398293,0.0108987097735359,0.0,0.0556649870857204,0.0124289294836525,3.755599547017319e-06,0.0
Gene8,6,0,,,False,0.0927815140293187,0.0,,1.26448882353994e-18,1.0612732606487144e-08,0.0927815140293187,0.0104700825334419,0.0,0.0418044344191362,0.0154613471458487,0.0034275474409889,0.0416580882724983,0.0188208051138907,0.0134348239759882,0.0843391799312803,0.0213601786034369,3.93326291077134e-05,0.0
Gene39,6,1,,,False,0.0918863632657229,1.3361011685919522e-08,,0.0,0.0643303322916055,0.0431790918902559,0.0093781740516134,2.070162886336213e-06,0.0772392274922452,0.0138878005591924,1.3361011685919522e-08,0.0918863632657229,0.0175702213004356,8.490895125889963e-08,0.0805239643554607,0.0173695917476416,1.7768032748999296e-06,1.3361011685919522e-08
Gene21,6,1,,,False,0.0901161339894383,0.0,,0.0,6.912915351387619e-13,0.0403178808315589,0.0088418234627598,2.5588303500523324e-06,0.0901161339894383,0.0105718675346725,0.0,0.0302952403278012,0.0122391484564624,0.0066567081890972,0.010243544562672,0.013987326617688,0.2319791002738581,0.0
Gene48,6,3,,,False,0.0893132250632815,2.409639154876686e-11,,0.0,0.0028734340892131,0.0476497681747863,0.0085070558438565,1.0643308401281361e-08,0.0258048377624654,0.0107969163732398,0.0084237453120187,0.0154083149800837,0.0129302067931943,0.1166987389100525,0.0893132250632815,0.0135808387041788,2.409639154876686e-11,2.409639154876686e-11
Gene81,6,1,,,False,0.0883485124594701,0.0,,0.0,0.0167823362513001,0.0600616654389737,0.0078264609283817,8.326672684688674e-15,0.0809896153199519,0.0088838929851414,0.0,0.0881588817850727,0.0092572287273767,0.0,0.0883485124594701,0.009425301762527,0.0,0.0
Gene89,6,1,,,False,0.0882817224948311,7.661826728622144e-11,,1.72317079870675e-23,4.396152658762261e-06,0.0475096223416244,0.0096808250687797,4.609869754812479e-07,0.0882817224948311,0.0137894566092958,7.661826728622144e-11,0.0691383489359425,0.0166552212629874,1.6540324911828996e-05,0.0355181486266585,0.0196877028487749,0.0356095517784641,7.661826728622144e-11
Gene43,6,1,,,False,0.0875385108121555,4.5767056811030216e-11,,1.11022302462516e-16,1.9548607566852625e-07,-0.0560808449478345,0.0105404773900594,5.173488382137492e-08,-0.0875385108121555,0.0135083825859661,4.5767056811030216e-11,-0.0339600793890712,0.0170226152375936,0.0230215616993574,-0.0821606664431052,0.0191424553922917,8.850947853189517e-06,4.5767056811030216e-11
Gene29,6,3,,,False,0.0861635958749428,7.771561172376096e-15,,1.22457599616155e-13,1.1196426049945923e-09,-0.0304724927992176,0.0081327108761553,8.951502302823044e-05,-0.0595695400452168,0.009221656167474,5.244005230053972e-11,-0.0187185828004888,0.01001339540928,0.0307867757961204,-0.0861635958749428,0.0112144604397079,7.771561172376096e-15,7.771561172376096e-15
Gene4,6,3,,,False,0.0796186171395444,4.6518344731794065e-14,,0.0,0.0051328378909568,-0.0313426644085332,0.0073273563821827,9.450791686460567e-06,-0.0484634234212444,0.0085101082952252,6.175581490630577e-09,-0.0454463981008601,0.009848685247528,1.970560605801808e-06,-0.0796186171395444,0.0106863245783926,4.6518344731794065e-14,4.6518344731794065e-14
Gene6,6,2,,,False,0.0755610590570785,6.34192894310992e-06,,0.0,0.0003430148443478,-0.0062973194589539,0.0100865309565064,0.2662055865615815,-0.0607864823819469,0.0140806033427839,7.906891139608518e-06,-0.0755610590570785,0.0173087266696307,6.34192894310992e-06,-0.0321994994026636,0.0197623432351959,0.0516209431821182,6.34192894310992e-06
Gene66,6,0,,,False,0.0753167386995725,0.0,,0.0,1.7432254620898597e-14,0.0561678941510481,0.0065420790350427,0.0,0.059848380134336,0.0067123632303707,0.0,0.0667352741468338,0.0069467205058788,0.0,0.0753167386995725,0.0071856620769002,0.0,0.0
Gene1,6,3,,,False,0.0732340433130941,0.0,,0.0,2.006693200495865e-09,0.0406698897070601,0.00651856337768,2.200648552275197e-10,0.0509757036534107,0.0068933031262656,7.072120666862247e-14,0.0528106227294136,0.0071303747965295,6.483702463810914e-14,0.0732340433130941,0.0076218054419987,0.0,0.0
Gene86,6,0,,,False,0.0698136886297849,0.0,,0.0,2.26117722787658e-08,0.0604430254313372,0.0070231485341871,0.0,0.0640775414968933,0.007396421363169,0.0,0.0552651240629688,0.0079419205845804,1.7176260413975797e-12,0.0698136886297849,0.0082767615956258,0.0,0.0
Gene82,6,3,,,False,0.0678489316644531,7.504552534953747e-13,,3.6346964258135904e-15,0.0001319400916478,0.0217197921538771,0.0073660844143276,0.001595975116851,0.0378887457265851,0.0081039929746608,1.4674910175926923e-06,0.0447324921025211,0.0085957432047148,9.750707086197965e-08,0.0678489316644531,0.0095907605621496,7.504552534953747e-13,7.504552534953747e-13
Gene91,6,0,,,False,0.0674480024501966,0.0,,2.8536312515059e-39,1.5988703885559208e-10,0.0674480024501966,0.0073619209206977,0.0,0.0360515433722107,0.0089178516257206,2.6427889174951424e-05,0.0297114534015565,0.0091197375826176,0.0005611433064331,-0.0045678399733313,0.0102041979501655,0.3272053548916296,0.0
Gene38,6,2,,,False,0.0673854775200975,0.0001137030977251,,3.11343875074793e-37,9.715864729586968e-06,-0.0044166140098,0.0106293503512315,0.3388838627305155,-0.035086356075754,0.0145243274431188,0.0078525891004286,-0.0673854775200975,0.0182792443934125,0.0001137030977251,-0.0129761551794423,0.0214121702500529,0.2722514841643328,0.0001137030977251
Gene25,6,1,,,False,0.0617730692681223,1.4489381974236435e-06,,5.4867612452658e-10,0.0204959368455964,0.0105134648768412,0.0097978744954789,0.1416276464639563,0.0617730692681223,0.0132052189558438,1.4489381974236435e-06,0.0248627981717979,0.0162934174696442,0.0635122455303213,0.0223337458911862,0.0186759938329097,0.115876936957549,1.4489381974236435e-06
Gene5,6,0,,,False,0.0607115128131151,9.083844787483033e-13,,7.05456668610016e-16,0.0159324332005414,0.0541147936148943,0.0076781751839962,9.083844787483033e-13,0.0535458958097597,0.0088385561818102,6.881910041833804e-10,0.0607115128131151,0.0093844484656672,4.920464036217709e-11,0.0580140319270053,0.0105732252469996,2.0454590798912875e-08,9.083844787483033e-13
Gene87,6,1,,,False,0.0600680981608398,1.100059905057016e-06,,4.44425607426524e-10,0.0002773006312611,-0.0218158081897557,0.0094756452627533,0.0106590404048767,-0.0600680981608398,0.0126883454838699,1.100059905057016e-06,-0.0322626456713735,0.0156408431040308,0.0195697232782955,-0.0113398984761752,0.0187222048541907,0.2723594930503765,1.100059905057016e-06
Gene76,6,0,,,False,0.0565433574712014,1.129790233034278e-07,,0.0,3.10989851985375e-10,0.0565433574712014,0.010922861737636,1.129790233034278e-07,0.0458319700447726,0.0146871947673197,0.0009026007147476,-0.0270995452077366,0.019172110264764,0.0787561634506153,0.0284317076442511,0.0229637775821671,0.1078374365658426,1.129790233034278e-07
Gene67,6,3,,,False,0.0556730978221101,3.248956659263058e-12,,1.72891620139334e-21,2.312209170530093e-06,0.0446331173775622,0.0068512875120958,3.645173052291284e-11,0.0394471483250333,0.0072994530044716,3.256296160492056e-08,0.0411216800944247,0.0077079057161354,4.7772172828697286e-08,0.0556730978221101,0.0081058229756147,3.248956659263058e-12,3.248956659263058e-12
Gene45,6,0,,,False,0.054034918349748,1.2279066652354234e-13,,0.0,1.324953809605867e-12,-0.054034918349748,0.0073804453200702,1.2279066652354234e-13,-0.0382733287997863,0.0080578459799898,1.017982189766009e-06,-0.0529010805891683,0.0082587492480244,7.495881693131423e-11,-0.0515016086424304,0.0086436003409477,1.2739754806645463e-09,1.2279066652354234e-13
