gene,betahat_d0,betahat_d1,betahat_d2,betahat_d3,se_d0,se_d1,se_d2,se_d3
Gene89,0.012929501,0.06239548,0.040661793,0.004930312,0.010113551,0.02113331,0.031001898,0.0388023
Gene9,0.08423884,-0.1092809,-0.21151781,-0.10821875,0.010680807,0.022945596,0.032259956,0.039985966
Gene90,-0.01882136,0.03740816,-0.000605962,-0.004232102,0.009652151,0.021639615,0.030988267,0.039007157
Gene91,0.017143438,-0.012530801,-0.01001838,-0.037082836,0.009843702,0.020457057,0.029973798,0.039681114
Gene92,0.024024203,0.056126464,0.729513,0.049875267,0.010583024,0.02177266,0.033149127,0.042530574
Gene93,0.02340231,0.06194779,0.028179819,0.021389978,0.009783794,0.020494616,0.029917968,0.037415482
Gene94,0.015215419,0.022156917,-0.0058108885,0.012087466,0.010029788,0.021489704,0.029307747,0.03765414
Gene95,-0.0033014545,0.030379375,0.08596088,0.026301159,0.010032502,0.02021508,0.028762318,0.038334817
Gene96,0.044154536,0.00031005527,-0.9378856,-0.03483663,0.009411329,0.02117753,0.03371774,0.045831114
Gene97,0.010121613,0.012921784,0.04134311,0.035222765,0.009981069,0.022093184,0.030313188,0.038019508
Gene98,-0.010743949,0.07365386,0.032249607,0.031730972,0.010239034,0.021694183,0.029151179,0.036047142
Gene99,-0.00015386486,0.04849181,0.05236098,0.07845454,0.010664799,0.022188624,0.030692479,0.041227713
