gene,betahat_d0,betahat_d1,betahat_d2,betahat_d3,se_d0,se_d1,se_d2,se_d3,postmean_d0,postsd_d0,lfsr_d0,postmean_d1,postsd_d1,lfsr_d1,postmean_d2,postsd_d2,lfsr_d2,postmean_d3,postsd_d3,lfsr_d3,lfsr_min,best_day
Gene41,0.041624438,0.1096224,0.13959847,0.12318301,0.009215923,0.02077966,0.03064856,0.039595913,0.00195981384565064,0.0106029587478151,0.442888068067166,0.0437816408680748,0.0162818742899822,0.00121225625845775,0.0410568094191983,0.0228914214013311,0.0254126902393995,0.00753703880632347,0.0271540786645472,0.40731712751569,0.00121225625845775,1
Gene42,-0.024475934,-0.00866615,-0.0033730932,-0.007986367,0.01041481,0.021495717,0.031009,0.040281042,-0.0231277495040864,0.00946142382305835,0.00645954470122168,-0.00840508547810021,0.0154210517730818,0.303264105888433,-0.00381745339595006,0.0204212441994485,0.443656390848221,-0.0068323212598324,0.0236551815220414,0.397045038526389,0.00645954470122168,0
Gene43,-0.01847023,-0.050134186,0.0022932964,-0.04402613,0.009733938,0.01989018,0.028997941,0.037354868,-0.00917025619979797,0.0097612268353415,0.174711935763856,-0.0337447535076411,0.0142263912641421,0.00852819355287138,0.0167739655939155,0.0195532667090152,0.196191692894378,-0.0153866204253237,0.0233784548792012,0.261338124669336,0.00852819355287138,1
Gene44,0.044122186,0.054684054,0.278536,0.048439465,0.010024084,0.020117512,0.030115122,0.03679985,0.0365120940395153,0.0196229613095708,0.0359469556325621,0.0432947440750813,0.0294064122789275,0.0744535999509522,0.260955064185717,0.0439817420532596,2.72608342579457e-10,0.0281065007039976,0.0531643083546676,0.307001014558177,2.72608342579457e-10,2
Gene45,-0.0014644754,0.018221747,-0.00067149074,0.00189068,0.009600038,0.020717937,0.02893982,0.03706366,-0.00164100826006106,0.00786678467810434,0.587627262844706,0.0154316392124411,0.0128630279132296,0.120758452615481,-0.00166132429954856,0.0155087219904438,0.613159828125796,-0.000417726163369381,0.0184038155697229,0.648163776225051,0.120758452615481,1
Gene46,0.020019062,-0.73035127,0.018951386,0.07639534,0.010099319,0.027634779,0.038128365,0.046907887,0.000635098635975441,0.00495366989057929,0.976144141392786,-0.761893188463114,0.0140327708306452,0,0.000790936117646322,0.0101592105084713,0.981138812912422,0.00238892396549839,0.0181446243347706,0.975729397682005,0,1
Gene47,-0.01673422,0.40630803,-0.036949456,-0.05570727,0.010422329,0.024484832,0.034897123,0.042867336,-6.57546619108988e-05,0.00158410725485718,0.997064750126394,0.435086243715048,0.00986551358391954,8.69175870400316e-33,-0.000147830775276567,0.00386738505354587,0.997190412213737,-0.000217500561370735,0.00515897076730923,0.997038546607941,8.69175870400316e-33,1
Gene48,0.0036585117,-0.02035655,-0.037405,0.0012885262,0.009571866,0.020063106,0.028421916,0.037184265,0.0084542373413663,0.00951885285793108,0.184802906187386,-0.0112999078488613,0.0139462161395209,0.204788152837714,-0.0218489809122112,0.0187172869830961,0.116097127034998,0.0112274135566446,0.0226412723082583,0.301338482405084,0.116097127034998,2
Gene49,0.13384578,-0.12052228,-0.16989139,-0.17855993,0.011315329,0.022772977,0.031801682,0.039040077,0.14136795098888,0.0193570049810847,4.75783905362385e-13,-0.107396714500807,0.0330953580139141,0.000395038398536163,-0.151359552949537,0.0462047051495948,0.000346342997789795,-0.15568704931421,0.0566754305859817,0.00231455854863538,4.75783905362385e-13,0
Gene5,0.020376518,-0.0010882483,0.002065402,-0.019428223,0.01064984,0.02308286,0.03227067,0.04244321,0.0241172916063544,0.00924259975329038,0.00393110669420544,0.00754058222325668,0.0160368613889325,0.332103719831817,0.0119844768189791,0.0199338863431979,0.279861260987495,-0.000304190620353531,0.0245033787727553,0.477214394181399,0.00393110669420544,0
Gene50,-0.010617011,-0.0054521672,0.035929,0.005204684,0.009539912,0.020458208,0.029703412,0.039737772,-0.0151402184498546,0.0094246815924181,0.0641089567639343,-0.0124386507769305,0.0137817058390918,0.189028516201214,0.0191224945490297,0.0191337454644013,0.153967756703604,-0.00843601417185104,0.0228398626273637,0.366925721824078,0.0641089567639343,0
