gene,betahat_d0,betahat_d1,betahat_d2,betahat_d3,se_d0,se_d1,se_d2,se_d3,postmean_d0,postsd_d0,lfsr_d0,postmean_d1,postsd_d1,lfsr_d1,postmean_d2,postsd_d2,lfsr_d2,postmean_d3,postsd_d3,lfsr_d3,lfsr_min,best_day,plarge_d0,plarge_d1,plarge_d2,plarge_d3,active_days,n_active_days,min_lfsr_among_active,best_day_among_active,max_abs_postmean,active_days_any,n_any_active,hit_anyday
Gene62,0.004870906,-0.046895526,0.021973666,0.034197494,0.009838706,0.021616716,0.030997211,0.040810652,-0.0010857394591219,0.0065463567798391,0.739157801889204,-0.0562098005612722,0.0121137364734914,0.0001843720727263,0.0011948407103955,0.0137723854726546,0.759559424570601,0.0027484086029415,0.0169388929660642,0.739493161279188,0.0001843720727263,1,0.0,0.0,0.0,0.0,,0,inf,,0.0562098005612722,,0,False
Gene56,0.040162705,0.081835315,0.06191782,0.043103825,0.009832109,0.021035451,0.030837648,0.03896305,0.0250191558821073,0.0100342948763776,0.0062495862403723,0.0545163095602169,0.0153728127261517,0.0002084717234026,0.0261702190288914,0.0212121967603488,0.108389019144239,0.0054903409789122,0.0250962161667149,0.413967687958164,0.0002084717234026,1,0.0,0.0,1.1102230246251565e-16,4.6629367034256575e-15,,0,inf,,0.0545163095602169,,0,False
Gene19,-0.0005138595,-0.079168275,-0.039998733,-0.029722134,0.010692415,0.022143595,0.030953346,0.039844003,0.0106157754771494,0.00991091530572,0.182450966572258,-0.0532992162021462,0.0155966988352781,0.0003942608098016,-0.0093599199245398,0.0203198060953253,0.362594003440719,0.0033627623761521,0.0241367612369611,0.478281268841966,0.0003942608098016,1,0.0,0.0,0.0,2.220446049250313e-16,,0,inf,,0.0532992162021462,,0,False
Gene25,0.019789271,0.07733103,0.0395771,0.040077817,0.010812628,0.022797395,0.0315704,0.03905412,0.0040284399859655,0.0083782012295051,0.538110171812272,0.0485958353270218,0.0138952781227217,0.0006977703664353,0.0053044883898922,0.0172439712609838,0.593569592801244,0.0023773342511879,0.0195309555119891,0.652491195080606,0.0006977703664353,1,0.0,0.0,0.0,0.0,,0,inf,,0.0485958353270218,,0,False
Gene21,0.031848546,0.06805283,0.03934288,0.03073277,0.01033354,0.02092489,0.029659932,0.036713585,0.0208012802426152,0.0103120834941399,0.0232190448906791,0.0476575282938145,0.0156532044241459,0.0011021894744238,0.0155900971904232,0.0210241300174846,0.231473549453678,0.0050693819779354,0.02456108180804,0.420819386765721,0.0011021894744238,1,0.0,0.0,0.0,9.992007221626409e-16,,0,inf,,0.0476575282938145,,0,False
Gene89,0.012929501,0.06239548,0.040661793,0.004930312,0.010113551,0.02113331,0.031001898,0.0388023,0.0060402753415136,0.0097692023906346,0.302917474701517,0.0475343521542383,0.0150036869585767,0.0008384890481631,0.0212753081499253,0.0211500622373216,0.191299020908603,-0.006802935962501,0.0241558192864477,0.419956971256813,0.0008384890481631,1,0.0,0.0,0.0,6.661338147750939e-16,,0,inf,,0.0475343521542383,,0,False
Gene55,0.044550266,0.025697092,-0.020062404,0.0024074176,0.01037758,0.020178275,0.029510593,0.03866132,0.0473598498669503,0.0101133490688868,1.50013743027586e-05,0.0306066282671619,0.0149622223164305,0.0198696191769485,-0.005879407329615,0.0207873699601765,0.388247790631113,0.0151178903434126,0.02513834265163,0.273975830270807,1.50013743027586e-05,0,0.0,0.0,0.0,9.581224702515101e-14,,0,inf,,0.0473598498669503,,0,False
Gene93,0.02340231,0.06194779,0.028179819,0.021389978,0.009783794,0.020494616,0.029917968,0.037415482,0.0152201589888134,0.0103619258378638,0.0887287780349939,0.0465319700377263,0.0151038986265078,0.000975872920616,0.0113548143184472,0.0207485391859799,0.310562074212749,0.0036939522075205,0.0242895355731999,0.456618325585418,0.000975872920616,1,0.0,0.0,0.0,3.3306690738754696e-16,,0,inf,,0.0465319700377263,,0,False
Gene98,-0.010743949,0.07365386,0.032249607,0.031730972,0.010239034,0.021694183,0.029151179,0.036047142,-0.0233264891814104,0.0102623372231815,0.0123193858762283,0.046381113005257,0.0162253377391572,0.0020996362932262,0.0024831306489191,0.0207633010233176,0.453779957770651,-0.0031709749963249,0.0242967849929517,0.445740753600281,0.0020996362932262,1,0.0,0.0,0.0,2.220446049250313e-16,,0,inf,,0.046381113005257,,0,False
Gene41,0.041624438,0.1096224,0.13959847,0.12318301,0.009215923,0.02077966,0.03064856,0.039595913,0.0029642784669478,0.0104052526344433,0.391607438213147,0.0454340585836369,0.015935310306504,0.0012672661828079,0.0434404597746034,0.0223554514273658,0.020969899423787,0.0100927188619743,0.0266729765639627,0.353494387602028,0.0012672661828079,1,0.0,0.0,1.2509993041476264e-12,5.418998583195389e-13,,0,inf,,0.0454340585836369,,0,False
