gene,n_guides,best_day,best_day_among_active,active_days,hit_anyday,max_abs_postmean,min_lfsr,min_lfsr_among_active,guide_min_lfsr_min,median_guide_lfsr_min,gene_postmean_d0,gene_postsd_d0,gene_lfsr_d0,gene_postmean_d1,gene_postsd_d1,gene_lfsr_d1,gene_postmean_d2,gene_postsd_d2,gene_lfsr_d2,gene_postmean_d3,gene_postsd_d3,gene_lfsr_d3,lfsr_min
Gene82,6,1,,,False,0.0376199499236933,3.904299183954407e-07,,1.4156009697785498e-11,0.0206762612762186,-0.0159101487818492,0.0067509443329998,0.009218338874643,-0.03512361218866,0.0071099114917198,3.904299183954407e-07,-0.0376199499236933,0.0078765522828561,8.932156781993328e-07,0.0060808970674411,0.0102959971189393,0.2773915907136304,3.904299183954407e-07
Gene26,6,3,,,False,0.0372544996860701,8.167209279152932e-05,,5.66706792604066e-10,0.0002126985020844,0.0075010871343637,0.0070268163493879,0.1428743195202294,-0.0141595920855274,0.006949768331456,0.0208040210197441,-0.0294954238679287,0.0080289931984648,0.0001195718355297,0.0372544996860701,0.0098822173175441,8.167209279152932e-05,8.167209279152932e-05
Gene24,6,0,,,False,0.0366535481508753,3.053974901856549e-07,,1.58169736794267e-05,0.003533743769251,0.0344108233383652,0.006899036544933,3.053974901856549e-07,0.0213683210552931,0.0070902208286221,0.0012901009432891,0.0139004806452737,0.0080562621416617,0.0422254038375682,0.0366535481508753,0.0087311852923389,1.3463911736510958e-05,3.053974901856549e-07
Gene27,6,3,,,False,0.036193784849225,1.773304194230274e-05,,4.89464095767175e-06,0.0024484306590166,0.0153207926542702,0.0060323265806312,0.0055460839384256,0.0167751258675695,0.0061716291760528,0.0032828664181443,0.020490337232476,0.0066152613877339,0.0009760184487419,0.036193784849225,0.0087526288960689,1.773304194230274e-05,1.773304194230274e-05
Gene41,6,1,,,False,0.0361872408369272,5.187255485150644e-07,,1.30590094016281e-05,0.150710898772256,-0.0251338089912288,0.0063515509469043,3.793042079058839e-05,-0.0333558070669225,0.0068290512366714,5.187255485150644e-07,-0.0361872408369272,0.0075171111317765,7.397591446078877e-07,-0.0240880199395604,0.0082432824678563,0.0017381799221407,5.187255485150644e-07
Gene8,6,0,,,False,0.0358786950031137,4.333646711485173e-07,,9.43494857908378e-06,0.0021804614414688,0.0350999959477677,0.0071345673667241,4.333646711485173e-07,-0.017890769936167,0.0077199664490898,0.0102391445040679,-0.0183903507979498,0.0084197972811449,0.0144745208242158,-0.0358786950031137,0.0093796395938422,6.534153226711581e-05,4.333646711485173e-07
Gene71,6,2,,,False,0.0357906961022461,1.2330210374944528e-05,,3.98625576991662e-12,0.019184598171659,-0.0213818543489882,0.0072563614493764,0.0016062566761226,0.014261369986821,0.0073688559121324,0.0264732251453608,0.0357906961022461,0.0084854598026072,1.2330210374944528e-05,0.0193914323195873,0.0092476829931623,0.0180013777502014,1.2330210374944528e-05
Gene75,6,0,,,False,0.0355073513353948,6.752735814963273e-09,,4.76260525425056e-20,0.0175829227000298,0.0355073513353948,0.0062517967261904,6.752735814963273e-09,0.0293752059187911,0.0067091623943777,5.978468299416839e-06,0.0296363689813027,0.0071463295969611,1.6837445950379504e-05,0.0116699086383107,0.0111820912039007,0.1483294876371471,6.752735814963273e-09
Gene38,6,3,,,False,0.0354453714335687,2.545475265197661e-05,,7.48298921026262e-07,0.0045494493518567,0.0129057047606115,0.0067593469089795,0.0281109028544174,0.0242415687434884,0.0066190280751116,0.000124928679575,0.0169972544795925,0.0072279761017601,0.0093466202821446,0.0354453714335687,0.0087488936502409,2.545475265197661e-05,2.545475265197661e-05
Gene77,6,3,,,False,0.0354010397457756,4.668978566435555e-06,,6.719516033607931e-09,0.0087535370709922,0.0268883898076252,0.0063064292906076,1.005584362567813e-05,0.0263989575025974,0.0063563639208464,1.639620286431054e-05,0.0293915063874689,0.0069179971778802,1.0757588023269092e-05,0.0354010397457756,0.0079876680975211,4.668978566435555e-06,4.668978566435555e-06
Gene73,6,3,,,False,0.0353207309489551,0.0003979307459608,,3.39268158011663e-09,0.0149951830191967,-0.0168505510144632,0.0070314536425369,0.0082772991002739,0.0067028690895343,0.0073445816163504,0.1807191738541143,0.0045300990761236,0.0077640175561431,0.2797872706090812,0.0353207309489551,0.0105302050861702,0.0003979307459608,0.0003979307459608
Gene13,6,2,,,False,0.0352891910122655,1.0784644967620771e-05,,0.002872909467397,0.0810566748209113,-0.0075693931112339,0.0066831404960046,0.1286889911099585,-0.0307341000600851,0.0074734807975658,1.95765657050595e-05,-0.0352891910122655,0.0083072595384809,1.0784644967620771e-05,0.0179300954722204,0.0106099481825001,0.0455204415990824,1.0784644967620771e-05
Gene39,6,0,,,False,0.0352077710430064,1.123850502660062e-07,,4.55191440096314e-14,0.0005625448999445,-0.0327558393621441,0.0063264640796383,1.123850502660062e-07,-0.0289073681831252,0.0065415495589641,4.95701837366358e-06,-0.0352077710430064,0.007472774951642,1.229668572522158e-06,-0.012687224285964,0.0097062526213733,0.0955862010063057,1.123850502660062e-07
Gene2,6,2,,,False,0.0350971368622503,6.512105893807796e-06,,6.13014609774084e-08,0.020800944520094,-0.0106802978225836,0.0075056700884678,0.0773733056009027,0.0212927012540371,0.0070400198343588,0.0012451280642318,0.0350971368622503,0.0080503598214219,6.512105893807796e-06,0.0303829614377452,0.0089454025869754,0.0003412815106814,6.512105893807796e-06
Gene3,6,0,,,False,0.0349729974230882,5.823981155117508e-07,,6.52016962576736e-06,0.0011499873832365,0.0349729974230882,0.0071938194993583,5.823981155117508e-07,0.001983984772795,0.0075057176629399,0.3957629036642878,-0.0279483796985853,0.0084533836914104,0.0004728922199039,0.0146015073962557,0.0092613244179277,0.0574425121113895,5.823981155117508e-07
Gene60,6,2,,,False,0.0347386392651,3.783274045321416e-06,,2.56179508330633e-08,0.0132827148984283,0.0284706485244933,0.0066357571369762,8.913972449009488e-06,0.0118720638267372,0.0070846972179502,0.0468952112922398,0.0347386392651,0.0077591913927194,3.783274045321416e-06,0.0324693712685277,0.0085744109628962,7.630736643504665e-05,3.783274045321416e-06
Gene34,6,1,,,False,0.0345347019435442,9.376237068980942e-07,,1.4477308241111998e-13,0.0077573575960461,-0.030200055717619,0.0069444561063933,6.844201193567656e-06,-0.0345347019435442,0.007245411750033,9.376237068980942e-07,-0.0219805756988696,0.0078444530159634,0.0025389239366971,0.0058088403415918,0.0102563230591888,0.2855722470010924,9.376237068980942e-07
Gene52,6,0,,,False,0.0344760320429868,1.0420490206275446e-06,,4.60026340523809e-05,0.000226015668751,0.0344760320429868,0.0072656166495688,1.0420490206275446e-06,0.0106973607139661,0.0072493108931715,0.0700205104467014,0.0012882388260481,0.0084916377890586,0.4397091139855368,0.0064380793904431,0.0091973096743908,0.2419649213526519,1.0420490206275446e-06
Gene33,6,0,,,False,0.0341327993149537,7.143366421158426e-07,,1.58208966076496e-15,0.0048999557811572,0.0341327993149537,0.0070800800540645,7.143366421158426e-07,0.0178901163808462,0.0069312859463078,0.0049247671127488,0.0122811862689234,0.007833141011276,0.0584581290493009,0.0169770125460969,0.0085084095005483,0.0230039123361083,7.143366421158426e-07
