guide,gene,betahat_d0,betahat_d1,betahat_d2,betahat_d3,se_d0,se_d1,se_d2,se_d3,postmean_d0,postsd_d0,lfsr_d0,postmean_d1,postsd_d1,lfsr_d1,postmean_d2,postsd_d2,lfsr_d2,postmean_d3,postsd_d3,lfsr_d3,lfsr_min,best_day
g265,Gene65,-0.05006061,-0.051559776,-0.063445106,-0.09644812,0.0118775135,0.014029688,0.016238274,0.020129599,-0.0534607210635525,0.0159274794177422,0.000949627582773394,-0.0542086615622361,0.0163460565479551,0.00110905716267506,-0.0590740832054874,0.017663866682563,0.000883499083873085,-0.0689683287483884,0.0210069581720043,0.000341836180034916,0.000341836180034916,3
g266,Gene66,0.025357243,0.027592659,0.025628101,0.09119889,0.009510091,0.012393858,0.014877805,0.018665312,0.0281269332522305,0.0172688237222325,0.0888236685671228,0.029275926238392,0.0173102526943396,0.0826321689237822,0.0286311760204904,0.0183653630160072,0.0963182435008865,0.0586320753173308,0.0232838996535924,0.00356262512551692,0.00356262512551692,3
g267,Gene67,-0.09259369,-0.12590657,-0.0985784,-0.03592028,0.011215637,0.0136124855,0.015508429,0.019547505,-0.0887506283985331,0.0166270484122636,1.15913762588349e-07,-0.10765194521247,0.0177258308587656,1.37861055904409e-10,-0.0910656459456646,0.018339359341775,8.01153753449135e-07,-0.0633287504124871,0.0232629885536962,0.0028164431507709,1.37861055904409e-10,1
g268,Gene68,-0.0025309857,-0.027887922,-0.042786583,0.017012738,0.011093879,0.013392608,0.01581662,0.019829994,-0.00691059705990552,0.0155368812884021,0.413028478061831,-0.0181714928194781,0.0170381922018186,0.233669426359597,-0.0232065539771328,0.0200418084024302,0.210894787414921,-0.00176924066484353,0.0205753486845927,0.507108932269605,0.210894787414921,2
g269,Gene69,0.05202376,0.026039185,-0.02567004,-0.02209045,0.011520203,0.013951203,0.016877148,0.021476462,0.0344873767029913,0.0189483761769497,0.0693136246526902,0.0190679580381027,0.0176094544717618,0.169362844695287,-0.00708675091654346,0.0201589266199632,0.396204462265512,-0.00209777372340545,0.0227426405500291,0.492396013934768,0.0693136246526902,0
g27,Gene27,0.039063577,0.04230345,0.05060971,0.08583544,0.0115449065,0.013303345,0.014920911,0.019126391,0.043225668630578,0.015890391144975,0.00609225676786968,0.0447306948677765,0.0157466400381675,0.00445795322768464,0.0484081013599429,0.0167424984750307,0.00358804790174458,0.0599702545423771,0.0206481645056558,0.00100527113344688,0.00100527113344688,3
g270,Gene70,0.018308755,0.011729992,0.019858774,0.031074194,0.010650726,0.013676113,0.015529163,0.019916836,0.0136426011214278,0.0153836875155005,0.32289719615294,0.0115311533698801,0.0151294035664918,0.357247966898615,0.0140425695488074,0.0165781328051977,0.330372057407396,0.0181481869822006,0.0200461700253862,0.26745277911038,0.26745277911038,3
g271,Gene71,0.02532278,0.08300185,0.12512465,0.0969369,0.012334235,0.015000254,0.017201593,0.0210851,0.0412385107748369,0.0177963211248725,0.00922709913438733,0.076892263233135,0.0185689656433023,1.81446104799835e-05,0.097538384852239,0.020782575172746,7.25354412258712e-07,0.0802816202543267,0.022706263161775,0.0002083084176335,7.25354412258712e-07,2
g272,Gene72,-0.092809156,-0.06491412,-0.022294074,-0.018594231,0.011926943,0.01394303,0.016358534,0.019878224,-0.0752250451838206,0.0176633099398273,4.8272280587236e-06,-0.0579430537009684,0.0173867304967966,0.00048974044796668,-0.0346364596818834,0.0200857644084186,0.0435372517936051,-0.035259072821663,0.0222400412807423,0.0590615289334118,4.8272280587236e-06,0
g273,Gene73,-0.11851393,-0.07045111,-0.07615265,-0.0086228885,0.012868058,0.014991565,0.016991165,0.021510446,-0.0985620952674945,0.0176858049855981,3.39268158011663e-09,-0.0684839216201124,0.0185096366441345,0.000129180588923639,-0.0710382769025332,0.0199846372215504,0.000230084781969619,-0.0429239180715528,0.0239461732076204,0.035550018601504,3.39268158011663e-09,0
g274,Gene74,0.091631494,0.047973264,-0.016068207,0.038189914,0.01241101,0.015040266,0.01733779,0.02196262,0.0723632996225984,0.0175277347631555,3.84121136232975e-05,0.0439612157390195,0.0186364685355909,0.00941426196720354,0.0103634586727691,0.0210452344330942,0.313291909237612,0.0382204956940364,0.0232307765977099,0.0507585631122468,3.84121136232975e-05,0
g275,Gene75,-0.003467496,-0.024588363,-0.017910536,-0.092687875,0.012547642,0.014529487,0.016409293,0.021300744,-0.00971579776622618,0.0158741575942682,0.414291333456665,-0.0188750962969166,0.0186632831849081,0.300739843187171,-0.0164765311940288,0.0189838484615901,0.336817645306304,-0.0553966342324807,0.0290593772831212,0.0328155058563305,0.0328155058563305,3
