guide,gene,betahat_d0,betahat_d1,betahat_d2,betahat_d3,se_d0,se_d1,se_d2,se_d3
g181,Gene81,-0.016595848,-0.035031527,-0.008516915,0.040147588,0.011332987,0.013857715,0.015979229,0.020066312
g182,Gene82,0.07672355,0.04018391,0.030079423,0.13975011,0.012306872,0.014933765,0.01706419,0.021123897
g183,Gene83,0.06446806,0.09505937,0.03663837,0.031400822,0.012336894,0.014065332,0.016831357,0.021414297
g184,Gene84,-0.04334377,-0.0662035,-0.07684362,-0.010085913,0.011634082,0.014422685,0.016973082,0.021211391
g185,Gene85,0.04512998,0.040674772,0.055930104,0.04660532,0.0116315475,0.01422358,0.016181536,0.019945161
g186,Gene86,0.0025883825,-0.018175583,0.02418741,0.06314656,0.011219387,0.0134226205,0.0153987175,0.020869868
g187,Gene87,-0.010666512,0.050872862,0.08305047,0.043746565,0.0121985,0.01466402,0.016879644,0.02108284
g188,Gene88,0.058379043,0.013010495,0.016752655,0.09069502,0.012208316,0.014741192,0.016651444,0.021379184
g189,Gene89,-0.006063143,0.0019521548,0.0070773847,-0.0076932223,0.012110466,0.014525431,0.01623323,0.020773873
g19,Gene19,0.009743834,0.052733775,0.069847256,0.06097909,0.012125288,0.01511868,0.017132496,0.021744592
g190,Gene90,0.06701941,0.03578962,0.05935322,0.0137017835,0.011944085,0.014353997,0.01608308,0.020122139
g191,Gene91,0.09096754,0.040906016,0.057189107,0.0339553,0.01141119,0.013703859,0.015525611,0.020754937
g192,Gene92,-0.022395665,-0.051064964,-0.043148234,0.02464222,0.012115132,0.01433289,0.016000474,0.020798044
g193,Gene93,0.06932254,-0.019574568,0.041339997,0.01095188,0.011935955,0.015058826,0.017415589,0.021571914
g194,Gene94,-0.041471235,-0.010084957,0.0045998916,0.034576755,0.012386551,0.015258221,0.017144058,0.021150727
g195,Gene95,0.045421567,0.0742339,0.07398154,0.18238164,0.011607936,0.013861489,0.015937926,0.020327521
g196,Gene96,-0.018150775,0.03452425,0.009000183,-0.013336492,0.011592471,0.013889921,0.01649594,0.019242574
g197,Gene97,0.0211108,0.034649573,-0.010616658,-0.026824662,0.011278562,0.0136689935,0.01595353,0.019778652
g198,Gene98,-0.011768903,-0.0036123856,-0.002527138,0.05465745,0.01151871,0.014267943,0.01620146,0.020412121
g199,Gene99,0.0063380254,0.017905727,-0.050786566,0.040397335,0.011968111,0.014137562,0.016382948,0.02042823
g2,Gene2,-0.05885452,-0.0048348308,0.022159835,0.01817279,0.011210484,0.013187783,0.015860258,0.019832693
g20,Gene20,-0.11295176,-0.11479665,-0.05995217,0.013138857,0.012368581,0.014965946,0.017129602,0.021484515
g200,Gene100,0.11701402,0.12942243,0.13517566,0.14873947,0.012259751,0.014862253,0.01709194,0.021658719
g201,Gene1,-0.026034275,0.030358888,0.027641095,-0.00580605,0.011695327,0.0146023985,0.017448401,0.022043383
g202,Gene2,-0.031203797,0.022815837,0.049810514,0.04582347,0.010956911,0.01311914,0.015866736,0.01968346
g203,Gene3,0.0975807,0.043694347,-0.014127758,0.07235052,0.011260142,0.013981527,0.016414532,0.020574642
g204,Gene4,0.07670409,0.100148976,0.07675577,0.20173441,0.011584293,0.013895707,0.015948215,0.020958882
g205,Gene5,-0.031221084,-0.008062522,-0.0137242,0.13814357,0.011033682,0.01324231,0.015720429,0.02094271
g206,Gene6,-0.064167984,0.07168014,0.010112695,-0.031670738,0.0105928155,0.014752499,0.01725161,0.021405412
g207,Gene7,0.049498927,0.050035786,-0.0037279727,0.06782618,0.012654095,0.014419837,0.016371248,0.020372663
g208,Gene8,0.078461185,-0.0058714137,-0.00935435,-0.052864973,0.0127257565,0.0154702095,0.017731989,0.021362834
g209,Gene9,0.019347414,0.04386748,0.058480103,0.10830463,0.012104582,0.014485316,0.016519668,0.020205675
g21,Gene21,0.030496726,0.043542724,-0.038497474,-0.02563785,0.011563966,0.013894428,0.016352262,0.019665709
g210,Gene10,-0.005919786,0.0058804173,-0.008029893,0.0024635815,0.010993813,0.013662666,0.016246872,0.020773899
g211,Gene11,0.0044852635,0.019163465,-0.010607994,0.02699677,0.011463794,0.01414882,0.015741806,0.019652028
g212,Gene12,0.07512766,0.05122728,0.10515619,0.20485608,0.011770362,0.014535624,0.017273469,0.021619929
g213,Gene13,0.012824112,-0.02833417,-0.04068562,0.08476252,0.011632798,0.014106038,0.016139122,0.021356292
g214,Gene14,0.07150138,0.064475164,0.027408091,0.068842255,0.011515684,0.013740165,0.016047401,0.020283928
g215,Gene15,0.08258118,0.02469849,0.030068545,0.07453988,0.012604497,0.014870017,0.016833581,0.020954644
g216,Gene16,-0.0024540392,0.0063124043,0.042752303,0.027906882,0.011791487,0.01413404,0.016407983,0.020131683
g217,Gene17,-0.0017148689,-0.0068704407,0.02073502,0.06341919,0.012285807,0.01455499,0.01712849,0.021080654
g218,Gene18,0.030177923,0.05820293,0.040409792,0.008721622,0.01128381,0.013814971,0.015715323,0.020478021
g219,Gene19,-0.06264546,-0.019655507,-0.002542063,-0.011410172,0.011379075,0.014934961,0.016851319,0.021352962
g22,Gene22,0.027370706,0.08353034,0.054448675,0.12124971,0.012215526,0.015434367,0.0181052,0.022445926
g220,Gene20,-0.032487273,-0.034332145,0.020512363,0.09360345,0.012219895,0.015099607,0.017354913,0.021769451
g221,Gene21,0.11664202,0.12968804,0.047647864,0.06050747,0.010848653,0.013202956,0.015881509,0.019244503
g222,Gene22,0.03407567,0.090235256,0.06115375,0.12795484,0.011930924,0.0152432695,0.01734974,0.021805016
g223,Gene23,0.048491437,0.006535521,-0.01723904,0.03031896,0.0107892435,0.014303586,0.016502546,0.021952078
g224,Gene24,0.07950642,0.054748796,0.035657365,0.0924712,0.011629439,0.014385476,0.016655067,0.02044351
