gene,betahat_d0,betahat_d1,betahat_d2,betahat_d3,se_d0,se_d1,se_d2,se_d3,postmean_d0,lfsr_d0,postmean_d1,lfsr_d1,postmean_d2,lfsr_d2,postmean_d3,lfsr_d3,lfsr_min,best_day
Gene39,-0.30441535,0.373393,0.4217266,0.06677177,0.01981808,0.038544405,0.052443054,0.06290683,-0.30344823398876,0,0.372110985825817,1.55457063925593e-22,0.41626431423184,4.93957583835879e-16,0.0707057309089348,0.127820162385844,0,0
Gene4,0.03753245,0.8976831,0.026359893,-0.8658269,0.017095359,0.036163434,0.04795945,0.058053866,0.0373432178641999,0.0143408898862608,0.893671892957449,3.84300128767215e-133,0.0257841439983528,0.293699274149997,-0.856428715843466,0,0,3
Gene40,0.05423221,-0.0062161256,0.012248661,0.04102169,0.018335672,0.033918492,0.04664684,0.057554554,0.0351436956976277,0.0257465791082353,0.0342622322385174,0.0319587712165698,0.0346421082001594,0.0266164181687203,0.0352100707315653,0.0239079031915181,0.0239079031915181,3
Gene41,0.029787568,0.51456183,0.103617035,0.044067096,0.016813202,0.03366638,0.049741834,0.06016417,0.0140679207313679,0.54174453765493,0.512296072260951,2.39794139270131e-50,0.0501411680549334,0.530716553706647,0.0206872464939082,0.634250685812069,2.39794139270131e-50,1
Gene42,0.28182593,-0.33182812,0.0945175,-0.40427902,0.020601945,0.0396933,0.05316458,0.06567352,0.280808853813576,8.70523604833048e-43,-0.328695856658068,0,0.0863722672946769,0.0503764581532644,-0.393988700827337,6.19080120500826e-10,0,1
Gene43,0.19227529,-0.54354405,-0.057705306,-0.8375066,0.018333351,0.035734583,0.047436696,0.058990482,0.192072034112872,4.59844168592021e-26,-0.54017992048996,0,-0.064837465462177,0.0843233881710103,-0.822527199443496,0,0,1
Gene44,0.2889545,-0.13159935,0.18352106,-0.19995521,0.019633101,0.037054125,0.04937044,0.057543043,0.287799154379623,3.88634315726988e-49,-0.130219796200171,0.000208118639609789,0.177114663304977,0.000146186109176656,-0.195169238782897,0.000305777854506584,3.88634315726988e-49,0
Gene45,-0.15367948,0.6020619,0.29401028,-0.3672695,0.01739978,0.036168564,0.047759578,0.057229776,-0.153342160775494,0,0.599392933865839,2.35433563701437e-62,0.289981936635441,4.31199764062917e-10,-0.359310484075478,1.25142785023513e-10,0,0
Gene46,0.009147301,0.04650468,0.051702153,-0.0010561796,0.017258734,0.03296558,0.047334123,0.057884436,0.013814660298865,0.308192266332105,0.018096390831401,0.226001997099852,0.0195140702695668,0.215550332406943,0.0137258693027348,0.288817425963444,0.215550332406943,2
Gene47,0.35899174,0.10782589,-1.3330599,-0.47253463,0.021451179,0.038983822,0.05742108,0.06979883,0.358252582572117,3.82640817028784e-63,0.102497971270443,0.00420243773977595,-1.30978014334532,0,-0.476235253377738,2.86404233662552e-12,0,2
Gene48,-0.25043914,-0.45348632,-0.10204605,0.43572837,0.018322188,0.035902467,0.048522193,0.059897866,-0.249400313331585,0,-0.450552759742333,0,-0.0993371030127812,0.0193093092893923,0.4281622037499,2.77565714566791e-13,0,0
Gene49,0.0027134754,0.85072297,0.41860878,-0.730829,0.017106686,0.0388297,0.0520451,0.06251343,0.00249367935788281,0.441962858657033,0.847697912735897,1.57803040288831e-106,0.410385047261806,8.07019573906793e-16,-0.717696964448056,0,0,3
Gene5,-0.06908487,0.12939903,0.1500967,0.17946415,0.01799948,0.03480427,0.047103167,0.05913379,-0.0689032770402977,6.35233197575635e-05,0.128693273731452,9.81392925279232e-05,0.148736107077579,0.000672752939229544,0.175703602569535,0.00121447858726004,6.35233197575635e-05,0
Gene50,0.06290285,0.088097125,0.52377033,-0.48940873,0.01766237,0.033843637,0.047192555,0.059158064,0.0626505994451398,0.000190651891019634,0.0888289767116603,0.00424649117935931,0.512533929613888,3.92232355399716e-28,-0.475458664538494,2.22044604925031e-16,3.92232355399716e-28,2
Gene51,-0.22703889,1.1020089,0.40305066,0.31997123,0.022029115,0.04291757,0.052643325,0.064335205,-0.226795751883212,1.11022302462516e-16,1.09318193955643,9.35192861688677e-145,0.405265478565748,3.77629020845587e-15,0.316498390831624,3.61780985171886e-07,9.35192861688677e-145,1
Gene52,0.37737373,-0.42451304,-1.346013,-0.43100843,0.024038777,0.0405392,0.057695013,0.06881713,0.376550757896129,7.09495372744144e-56,-0.426393860976129,0,-1.3242632022338,0,-0.436968044407392,6.69850841461539e-11,0,1
Gene53,-0.31996366,-0.11148482,1.3299464,1.3124067,0.021773962,0.040491506,0.06049066,0.07142269,-0.319641765263585,0,-0.107970440601104,0.00377424069229693,1.31145408440409,1.08305497108281e-106,1.30498433028464,6.98218598984666e-76,0,0
Gene54,0.006422939,0.06875333,0.64880484,0.06384831,0.020219589,0.03731348,0.050590385,0.060276248,0.000371223375910504,0.962240106507483,0.00429717550752744,0.940718705274525,0.644627123422396,1.39366299816007e-35,0.00417900356333447,0.94661113454169,1.39366299816007e-35,2
Gene55,0.034681752,-0.3797991,0.33534774,0.07991108,0.01922852,0.035833266,0.050161567,0.061714787,0.03453163864535,0.0359701699288128,-0.375760063900323,0,0.326396197996715,1.5496528943365e-09,0.0816134559375674,0.0908390503757289,0,1
Gene56,0.0012809391,-0.6652457,-0.015048668,0.024708103,0.017962044,0.03696514,0.052306827,0.06361645,2.26324688546819e-05,0.992015576418438,-0.6631915693946,0,-0.000290642347579609,0.990327984926422,0.000381078288696896,0.990170609023133,0,1
Gene57,0.06473092,-0.17398384,0.1088557,0.8955358,0.018764509,0.035814743,0.04849638,0.058174044,0.0641976925352399,0.000304098689255898,-0.173619867068175,7.11642887174513e-07,0.111418072676344,0.0101726250088363,0.881144749360871,8.7083770163255e-53,8.7083770163255e-53,3
