guide,gene,betahat_d0,betahat_d1,betahat_d2,betahat_d3,se_d0,se_d1,se_d2,se_d3,postmean_d0,lfsr_d0,postmean_d1,lfsr_d1,postmean_d2,lfsr_d2,postmean_d3,lfsr_d3,lfsr_min,best_day
g11,Gene11,-0.70009595,0.04919115,0.5975878,0.04918489,0.03257957,0.045567643,0.05553426,0.066835046,-0.69995496563697,0,0.0462020132746189,0.153050210641245,0.590433654960838,3.61920438601487e-27,0.046558186634896,0.24047160079967,0,0
g110,Gene10,0.0115572475,0.17701837,-0.57393706,-0.009026388,0.029328788,0.041509286,0.05383508,0.06586869,0.0123215775243261,0.335880491836053,0.178899160878918,7.13139533914261e-06,-0.568305901994221,0,-0.00619193876794008,0.462185585689125,0,2
g111,Gene11,-0.5830536,0.16623372,0.7146301,0.1662272,0.02861116,0.044808283,0.054450504,0.06663076,-0.584613924052141,0,0.160781532310982,0.000146828774285523,0.70482598864534,2.6130559657477e-39,0.159608579703862,0.007701762521567,0,0
g112,Gene12,-0.30544654,0.10559299,-0.7411472,0.17855707,0.02824905,0.04345606,0.05679534,0.06953545,-0.304860673138538,0,0.107634753655077,0.00623254875249585,-0.734724927619509,0,0.17996861959017,0.00442237990840881,0,0
g113,Gene13,0.22797349,0.16700815,0.71913016,1.0661678,0.030599484,0.045297492,0.057221133,0.06974616,0.219510879659024,2.39670092989966e-13,0.155275493924034,0.000273557674969387,0.702424204881955,1.71405760567536e-35,1.04219616128269,7.01932860621611e-52,7.01932860621611e-52,3
g114,Gene14,0.40475854,-0.09036586,-0.14212158,0.6369804,0.033435665,0.045213606,0.058190424,0.069907285,0.399637915614358,7.43165451373374e-34,-0.0941052235071853,0.0179535882458229,-0.145241312742896,0.00587474053787929,0.625174387827991,6.44567002366723e-20,7.43165451373374e-34,0
g115,Gene15,0.3762554,-0.3180864,0.36814597,0.029202757,0.03338971,0.04702666,0.06109889,0.07198394,0.374943794844382,3.98256010571767e-30,-0.318775208043083,3.83482134935775e-12,0.364421809353202,7.8348298719675e-10,0.0264156335998329,0.354993130730156,3.98256010571767e-30,0
g116,Gene16,-0.046834003,0.10328425,-0.6736496,0.6749517,0.028787183,0.04256946,0.056674965,0.07076511,-0.0497756123807747,0.0404848455588551,0.101508546705116,0.00803658882101708,-0.671937998796129,0,0.666268838630518,7.85450904087826e-22,0,2
g117,Gene17,-0.023413755,-0.7135755,-0.031973846,-0.9386639,0.028293738,0.043079384,0.054795768,0.066389054,-0.0169160322816755,0.273464008215067,-0.703675555761637,1.11022302462516e-16,-0.0223542492073401,0.340381419949409,-0.920604135172658,1.11022302462516e-16,1.11022302462516e-16,1
g118,Gene18,0.43029314,0.9599802,0.4966372,1.1714405,0.029562002,0.043588843,0.055526394,0.066822164,0.420716989252004,6.51860440383604e-47,0.945531537065794,3.03190631386248e-106,0.480621718346537,1.29241154529021e-18,1.1465316290757,9.54098088090348e-67,3.03190631386248e-106,1
