gene,lfsr_min,best_day,postmean_bestday,n_guides,min_guide_lfsr_min,median_guide_lfsr_min,max_abs_postmean,hit_anyday
Gene39,0.0,0,-0.796748823998529,6,0.0,0.0,0.891131218387758,True
Gene4,0.0,3,-0.726483504090175,6,0.0,0.0,1.04481334938381,True
Gene43,0.0,1,-0.437121159256064,6,0.0,0.0,0.755341845915164,True
Gene45,0.0,0,-0.487697428860862,6,0.0,1.575189544015175e-38,0.75536504399343,True
Gene46,0.0,0,-0.272073608519317,6,0.0,4.3155017973118776e-13,0.405735420735102,True
Gene47,0.0,2,-1.0768066632199,6,0.0,0.0,1.10296256572991,True
Gene48,0.0,0,-0.571071051765627,6,0.0,0.0,0.993102659791226,True
Gene49,0.0,0,-0.340709392348917,6,0.0,1.54548323681498e-131,1.13256175382546,True
Gene5,0.0,0,-0.449173171393277,6,0.0,5.7720495050262e-13,0.449173171393277,True
Gene50,0.0,3,-0.718761531129992,6,0.0,1.8183082121656946e-33,0.782003703959951,True
Gene51,0.0,0,-0.730347330550933,6,0.0,0.0,1.01954145221171,True
Gene52,0.0,2,-0.874437085305204,6,0.0,0.0,1.20735010478156,True
Gene53,0.0,0,-0.76535432549972,6,0.0,0.0,1.04551960544607,True
Gene55,0.0,1,-0.574031289641957,6,0.0,0.0,0.945182047561007,True
Gene56,0.0,1,-0.515436897045717,6,0.0,5.5511151231258e-17,0.991589468033748,True
Gene57,0.0,1,-0.452116987639416,6,0.0,1.10187178195607e-59,1.22892397316786,True
Gene58,0.0,3,-0.911078316142493,6,0.0,0.0,1.19545909229686,True
Gene59,0.0,2,-0.513924232854309,6,0.0,1.382227665658319e-14,0.513924232854309,True
Gene62,0.0,1,-0.777061064721525,6,0.0,1.74221176621837e-21,0.896318461742975,True
Gene63,0.0,2,-0.458635272747561,6,0.0,6.245467906766875e-25,0.611467078722173,True
Gene64,0.0,3,-0.835630633458481,6,0.0,5.551115185199622e-17,1.05925499543695,True
Gene65,0.0,1,-0.545770068660332,6,0.0,0.0,1.02283675400621,True
Gene66,0.0,0,-0.464518062864993,6,0.0,1.4577768149494108e-35,0.881084524152636,True
Gene67,0.0,0,-0.467409693980511,6,0.0,0.0,0.714059027354756,True
Gene69,0.0,0,-0.72492942119363,6,0.0,0.0,0.866285544387374,True
Gene7,0.0,0,-0.793045989925335,6,0.0,0.0,1.1468218986599,True
Gene70,0.0,1,-0.8605937153523,6,0.0,0.0,1.09063692883458,True
Gene71,0.0,2,-0.558880824329966,6,0.0,1.7474910407601224e-13,0.558880824329966,True
Gene72,0.0,0,-0.793417456901878,6,0.0,0.0,1.25942428131067,True
Gene73,0.0,2,-0.908386772429408,6,0.0,0.0,0.99695033537903,True
Gene74,0.0,1,-0.914506885214175,6,0.0,0.0,1.18369122143621,True
Gene75,0.0,1,-0.383670484412536,6,0.0,0.0,0.912341064336562,True
Gene77,0.0,0,-0.334300974879647,6,0.0,2.890095205311445e-51,1.31349168345968,True
Gene78,0.0,0,-0.780921049654186,6,0.0,0.0,1.12196670790652,True
Gene79,0.0,1,-0.413991406227337,6,0.0,0.0,0.738471676438777,True
Gene8,0.0,0,-0.576984067457505,6,0.0,0.0,0.849917280119588,True
Gene80,0.0,1,-0.452469153174246,6,0.0,2.0838672442864882e-44,0.728923948261582,True
Gene82,0.0,3,-0.633856935349366,6,0.0,0.0,1.08088769499138,True
Gene84,0.0,1,-1.12360043707445,6,0.0,0.0,1.12360043707445,True
Gene85,0.0,0,-0.6726573946011,6,0.0,5.5511151231258e-17,0.860274226870526,True
