gene,betahat_d0,betahat_d1,betahat_d2,betahat_d3,se_d0,se_d1,se_d2,se_d3
Gene8,-0.2012566,0.93205184,-0.22071041,0.32431996,0.020122243,0.04064325,0.056295436,0.066121764
Gene80,0.15821287,-0.31968728,0.07787621,0.18798868,0.019693933,0.03894014,0.047832362,0.060373727
Gene81,0.30301687,-0.29722095,-0.4205413,-0.57453215,0.021161055,0.037426025,0.04898964,0.060283348
Gene82,0.025636224,0.61369115,-0.24869484,-0.7737952,0.018298332,0.03409149,0.050431795,0.059008747
Gene83,0.34309092,-0.14412074,0.56805956,0.6850153,0.020752186,0.037335776,0.053399615,0.06527356
Gene84,0.0036047287,-0.87424535,-0.02053708,0.005955983,0.018944968,0.03774695,0.052317556,0.063413866
Gene85,-0.21095581,0.3332569,-0.40711635,0.36997008,0.018496238,0.03586787,0.048611596,0.062325217
Gene86,0.049955778,0.0072723627,-0.52426493,-0.23026815,0.016939122,0.033277523,0.0451377,0.055813666
Gene87,0.22900376,-0.60184574,-0.9005431,-0.31892273,0.019494215,0.039802883,0.051655497,0.063914165
Gene88,0.02580207,-0.38671458,0.055834714,0.31701803,0.0187891,0.035420146,0.0483216,0.061264947
Gene89,0.01891832,-0.7209263,0.37259248,0.05573192,0.019053504,0.0384072,0.054644115,0.06452672
Gene9,0.31638774,-0.8406038,-0.34800467,-0.36300328,0.020299472,0.04205452,0.054019555,0.06348387
Gene90,-0.17683722,0.5354006,-0.1538308,0.8524772,0.018961431,0.037571333,0.05256858,0.06400746
Gene91,-0.33277103,-0.5475861,0.45489517,-0.24045858,0.020414578,0.036246445,0.05193855,0.06294756
Gene92,-0.31670883,0.5132156,0.21830502,0.5077795,0.021151235,0.037023026,0.049412597,0.058812253
Gene93,0.02988999,-0.46539658,0.21599077,0.41632614,0.0178442,0.03501391,0.048795197,0.05919379
Gene94,-0.15795472,0.1870806,-0.26429322,0.19665869,0.018972827,0.03526163,0.04680365,0.058573853
Gene95,0.40072867,0.05347354,-0.4613184,-0.11028444,0.02299365,0.036672764,0.048875324,0.06183596
Gene96,-0.24691683,0.34470275,0.37842855,-0.48943838,0.017885145,0.032316063,0.043066625,0.054674
Gene97,0.15424699,-1.0347859,-0.21887353,-0.42488563,0.018738111,0.041503765,0.054145142,0.06341753
Gene98,-0.030247943,-0.058725446,-0.03928276,-0.07511064,0.017884206,0.03569302,0.047036644,0.055566788
Gene99,0.019856568,0.0019591714,-0.8964253,-0.018626545,0.018641513,0.035493623,0.048315484,0.06265028
