guide,gene,betahat_d0,betahat_d1,betahat_d2,betahat_d3,se_d0,se_d1,se_d2,se_d3
g186,Gene86,0.32984945,0.287531,-0.24341483,0.051454335,0.027751902,0.039209504,0.050171323,0.06315354
g187,Gene87,0.8414667,0.010860586,-0.28769273,0.2933631,0.03426343,0.046665378,0.057453863,0.06919346
g188,Gene88,-0.017469652,-0.43175074,0.010987289,0.27190393,0.032550573,0.044118103,0.055284664,0.066668674
g189,Gene89,0.37300873,-0.3715961,0.72322625,0.40709883,0.030933907,0.04756894,0.059092853,0.06888585
g19,Gene19,0.4552347,0.90184367,1.3011695,-0.40921575,0.03221045,0.047223646,0.059188254,0.074363016
g190,Gene90,-0.10629224,0.6053349,-0.0845195,0.9223023,0.030868754,0.04426389,0.05575173,0.06581141
g191,Gene91,-0.8129317,-1.0266664,-0.027165534,-0.7228197,0.029853918,0.042136263,0.054637488,0.06685917
g192,Gene92,-0.806693,0.020596752,-0.27647752,0.015264775,0.03339167,0.04734249,0.055766866,0.06848837
g193,Gene93,-0.08152336,-0.5757123,0.10505005,0.30556107,0.030194765,0.04267291,0.05619096,0.0668053
g194,Gene94,-0.40758532,-0.06336356,-0.51538134,-0.05394771,0.034769766,0.046564873,0.05695572,0.066878416
g195,Gene95,0.30597207,-0.042134423,-0.5590984,-0.20893462,0.034811407,0.046425547,0.05632739,0.067621954
g196,Gene96,-0.25817716,0.33419043,0.36538783,-0.5024136,0.028930824,0.04027737,0.050128043,0.05918869
g197,Gene97,0.43066406,-0.7595165,0.057187535,-0.14965484,0.031103784,0.047811985,0.060675558,0.06958878
g198,Gene98,-0.008010813,-0.03486349,-0.016180951,-0.051612545,0.028885655,0.04314647,0.053018488,0.062897295
g199,Gene99,-0.39181656,-0.41030827,-1.308387,-0.4314558,0.031098533,0.04308117,0.055051338,0.06602094
g2,Gene2,-0.1782578,-0.6826177,-0.18664008,-0.19072987,0.027771227,0.039359726,0.050604157,0.0596175
