guide,gene,betahat_d0,betahat_d1,betahat_d2,betahat_d3,se_d0,se_d1,se_d2,se_d3,postmean_d0,lfsr_d0,postmean_d1,lfsr_d1,postmean_d2,lfsr_d2,postmean_d3,lfsr_d3,lfsr_min,best_day
g173,Gene73,0.15858649,0.16808881,0.20166285,0.16382466,0.019916847,0.027284244,0.034512307,0.04197289,0.167118511302914,1.11932475233147e-18,0.167122414429477,1.08157256945645e-12,0.167137055198938,2.22647200739627e-12,0.167120016072865,2.41106577807447e-08,1.11932475233147e-18,0
g174,Gene74,0.39008158,-0.19889104,0.5099413,0.51665854,0.021027802,0.033124186,0.04250131,0.049364056,0.387688484081919,1.23514457446085e-76,-0.199903771031457,7.02463087698391e-10,0.502092198686141,5.29055878567546e-33,0.505943857177776,2.05944513149921e-25,1.23514457446085e-76,0
g175,Gene75,0.08880412,0.011487798,-0.8896604,0.2638828,0.022012351,0.029580427,0.04312376,0.057556786,0.088317530994271,3.8581685880665e-05,0.0123080778863414,0.337863312931109,-0.884815614941918,0,0.264355203348092,1.13989184711507e-05,0,2
g176,Gene76,0.17456923,0.15974617,0.07503136,0.13327478,0.020674147,0.02811123,0.03668819,0.045064136,0.158927928192563,8.86773177797381e-17,0.158757292794653,3.03545686762532e-08,0.157807918895406,0.000235966399310832,0.158451706744492,1.83582660225205e-05,8.86773177797381e-17,0
g177,Gene77,-0.029131703,-0.05266498,-0.041601565,-0.05394194,0.020699222,0.027773393,0.035251122,0.04372002,-0.0305200763835768,0.0745182900662096,-0.0309024035071591,0.0643561189666801,-0.0303352025588874,0.0881832086588642,-0.0303138593049111,0.0879406961561386,0.0643561189666801,1
g178,Gene78,0.27030346,0.27161103,0.25217402,0.26067433,0.02114024,0.028031042,0.03577616,0.04489656,0.266679788781644,4.3436255672425e-41,0.266679915771427,2.83005571202185e-24,0.266673905588885,3.46877406907895e-16,0.266676085820717,1.2339443158795e-12,4.3436255672425e-41,0
g179,Gene79,0.3579829,-0.13498756,-0.23876704,0.43211013,0.02493588,0.034817655,0.043297905,0.053144272,0.355026625809882,1.23307353995626e-46,-0.134417226578829,5.14425933958451e-05,-0.237930113933398,1.49588389453115e-08,0.425237244293103,2.69422242175599e-16,1.23307353995626e-46,0
g18,Gene18,0.40537155,0.46266636,1.1303512,0.37385562,0.021163398,0.028732695,0.03787505,0.04745231,0.40451216580993,5.91195520014834e-82,0.459934198901649,2.61731388528736e-58,1.12397526925771,2.65817541997993e-195,0.367952037396059,2.67425751393693e-15,2.65817541997993e-195,2
g180,Gene80,0.009396932,0.06660102,0.026078064,0.028682156,0.022456441,0.029188128,0.03522299,0.04192733,0.0157131550421357,0.354966516604088,0.0251030935035688,0.142483375025179,0.0159056385863288,0.366123539953196,0.0158883477411195,0.365347431572054,0.142483375025179,1
g181,Gene81,0.55247945,0.57851845,0.5830326,0.57232165,0.022107398,0.028896708,0.0359379,0.043162685,0.557012179746483,1.44372307185199e-140,0.557041957161481,7.68022560182357e-92,0.557046413432796,4.53138255622734e-62,0.557031715406503,5.07877728448869e-43,1.44372307185199e-140,0
g182,Gene82,0.17934221,0.1962941,0.20171005,0.23489685,0.02147354,0.028684963,0.036716525,0.044617463,0.176364251862737,1.01720678949515e-19,0.17637389165378,9.35596991290393e-14,0.176376700535319,1.4825229988316e-11,0.176395848427361,5.39113978111752e-11,1.01720678949515e-19,0
g183,Gene83,-0.035472397,0.010783064,0.04144487,0.0065961913,0.019878652,0.025524173,0.034290805,0.042833336,-0.0190792878213428,0.175638909518012,-0.0113686986928058,0.400427321900448,-0.0114796330188629,0.413964479539585,-0.0116251134037582,0.411808825761954,0.175638909518012,0
g184,Gene84,-0.07851707,0.23006696,-0.101584084,-0.14738806,0.020747991,0.03062624,0.039010048,0.046349715,-0.0776753702250089,0.00323284856385586,0.229430757221422,2.61022646612897e-14,-0.0996671732478008,0.00802154014667589,-0.144072744295303,0.00396471624081618,2.61022646612897e-14,1
g185,Gene85,0.24316683,0.2374025,0.20164473,0.22006826,0.019224139,0.02749979,0.034818616,0.04282099,0.236731011605516,5.69896340504366e-40,0.236727900712403,4.1319415098674e-19,0.2367108035196,1.93710434552786e-12,0.236719070777167,7.78151772055015e-11,5.69896340504366e-40,0
g186,Gene86,0.23950629,0.2426852,0.22401802,0.25854963,0.019577563,0.026675036,0.033693958,0.04447081,0.232031528136186,4.7240869662413e-38,0.232032285460079,1.13602473324525e-21,0.232026180569647,5.94552451952371e-15,0.232036708512677,1.24351604483301e-12,4.7240869662413e-38,0
g187,Gene87,-0.11660298,-0.15592967,-0.12681924,-0.10335807,0.019681145,0.026708648,0.033364378,0.040896088,-0.128204379089713,1.23694388065587e-11,-0.128240370945352,1.52744128456561e-09,-0.128213198101759,7.30309922536421e-08,-0.128191108400098,5.64189154839134e-06,1.23694388065587e-11,0
g188,Gene88,0.51360863,0.5149323,0.5156636,0.52032197,0.022134328,0.029136598,0.03556228,0.044234112,0.509221983469855,3.56594627483137e-122,0.509222011949084,5.74055713834363e-73,0.509222027326877,7.06842482591293e-51,0.50922381381171,3.52486727303564e-35,3.56594627483137e-122,0
g189,Gene89,-0.11987243,-0.073015705,-0.09364033,-0.12891234,0.020514894,0.029435126,0.035893895,0.04340757,-0.104246233167299,1.5198078351375e-08,-0.104143216209298,0.000535350294791459,-0.104169487066924,0.000532613644366187,-0.104214164007169,0.000528491775980022,1.5198078351375e-08,0
g19,Gene19,-0.051886883,-0.13032562,-0.09027867,-0.08028811,0.020842968,0.028562203,0.035983328,0.044560872,-0.0691441200889137,0.00732819205796409,-0.0705579732699989,0.00018947586213558,-0.0696077301802853,0.00740039643037127,-0.0694791443064827,0.00778714462526065,0.00018947586213558,1
g190,Gene90,-0.13354786,-0.07790456,-0.11646979,-0.11959175,0.020389782,0.027852423,0.034508064,0.040485084,-0.120736590258697,7.52702344897216e-11,-0.120613742374776,0.000142593888979414,-0.120688610931859,0.00013803266012391,-0.12069374875586,0.000140559796920847,7.52702344897216e-11,0
g191,Gene91,0.025716139,-0.0032506445,-0.0023802498,-0.029791193,0.017785648,0.025670027,0.032690167,0.042477254,0.0243969278549212,0.0874507894822222,0.0200302702452806,0.225331787481609,0.0201781468548636,0.23255811791868,0.0194442344459621,0.233872172610812,0.0874507894822222,0
