gene,lfsr_min,best_day,postmean_bestday,n_guides,min_guide_lfsr_min,median_guide_lfsr_min,max_abs_postmean,hit_anyday
Gene9,5.81413548336829e-102,0,0.467218993666642,6,5.81413548336829e-102,3.877876969922941e-28,0.467218993666642,True
Gene84,4.0035035361704997e-100,1,0.643500515434553,6,4.0035035361704997e-100,5.425269236316948e-40,0.643500515434553,True
Gene13,4.34284172240492e-99,0,0.43550006162176,6,4.34284172240492e-99,0.0409719096384209,0.43550006162176,True
Gene33,3.61820242504887e-88,0,0.413521114762717,6,3.61820242504887e-88,5.55843566679446e-17,0.413591772200312,True
Gene24,2.49402194982973e-86,0,0.405975842301821,6,2.49402194982973e-86,8.059168305544461e-11,0.406057363384935,True
Gene12,3.43082108442609e-74,0,0.402380779169039,6,3.43082108442609e-74,1.1139313433573751e-08,0.402390920073398,True
Gene86,1.10400033387723e-67,0,0.33373733987163,6,1.10400033387723e-67,1.52260644303613e-13,0.46148336531289,True
Gene93,5.30964920792215e-66,0,0.338531484536611,6,5.30964920792215e-66,1.13823827196183e-08,0.338575159484566,True
Gene61,1.35536858410987e-64,0,0.326655818517939,6,1.35536858410987e-64,0.0006084468022417,0.326657079689355,True
Gene73,5.59778207268144e-64,0,0.360327599982875,6,5.59778207268144e-64,5.607081360742374e-17,0.362229331043671,True
Gene1,2.5846005712762103e-61,0,0.330993815321373,6,2.5846005712762103e-61,6.372680161348377e-14,0.331006557517983,True
Gene17,1.15318036558614e-60,0,0.329328107314635,6,1.15318036558614e-60,1.0103050604931268e-14,0.329328107314635,True
Gene41,6.20603023207695e-57,0,0.328255068146565,6,6.20603023207695e-57,1.33820409459354e-08,0.330683966565007,True
Gene89,7.55425935652162e-52,0,0.328130123479696,6,7.55425935652162e-52,1.1821835775346975e-10,0.328207552904341,True
Gene44,6.22881235562641e-51,2,0.503137827866537,6,6.22881235562641e-51,3.988289709729046e-23,0.503137827866537,True
Gene27,1.06894255573521e-48,0,0.314000873563628,6,1.06894255573521e-48,3.5263823559067413e-19,0.314048497592507,True
Gene40,1.4826117281598398e-48,0,0.313247404428291,6,1.4826117281598398e-48,2.3550994487919755e-11,0.313251171305066,True
Gene95,1.10808517045141e-45,0,0.3042687792247,6,1.10808517045141e-45,8.602219366308399e-12,0.400477895815536,True
Gene26,6.06795810450781e-44,0,0.257570573104965,6,6.06795810450781e-44,6.57228130832125e-21,0.257600018863142,True
Gene67,7.94285939427301e-43,0,0.237241394978805,6,7.94285939427301e-43,5.589046213790313e-10,0.242739263440739,True
Gene36,9.45607392810376e-39,0,0.249250850025162,6,9.45607392810376e-39,1.7202905766566793e-13,0.353327222691509,True
Gene8,1.1438314474415e-38,0,0.244857277139555,6,1.1438314474415e-38,5.1382676879966516e-14,0.244858660760642,True
Gene55,6.65509787818606e-38,0,0.264715506449942,6,6.65509787818606e-38,2.222980496156324e-14,0.264715506449942,True
Gene5,4.13489386893825e-29,0,0.221532060642074,6,4.13489386893825e-29,0.0010302261710034,0.221532060642074,True
Gene28,5.03449301541197e-28,0,0.207152359500574,6,5.03449301541197e-28,0.0001257501199102,0.222366814796715,True
Gene97,1.89535597834628e-27,0,0.204332295636756,6,1.89535597834628e-27,1.98471740416798e-16,0.292257712781802,True
Gene65,3.42204401805034e-26,0,0.206264953119169,6,3.42204401805034e-26,1.5151337925012292e-10,0.206275984751711,True
Gene35,4.593703245642261e-25,0,0.196850876629562,6,4.593703245642261e-25,1.7006971726864693e-08,0.196850876629562,True
Gene25,9.811827827486669e-22,0,0.19738031578377,6,9.811827827486669e-22,0.0732304712546598,0.197504446387788,True
Gene99,3.9641132645404e-18,0,0.164487128419899,6,3.9641132645404e-18,2.624439554566036e-09,0.184927627214682,True
Gene100,4.14185898809068e-18,0,0.161982319224053,6,4.14185898809068e-18,0.0002451616175033,0.162092561827275,True
Gene57,1.11022302462516e-16,0,-0.18121892456735,6,1.11022302462516e-16,0.1079581825963654,0.181233118782225,True
Gene64,1.11022302462516e-16,0,-0.340995857101379,6,1.11022302462516e-16,8.383014731081995e-07,0.341047198433049,True
Gene58,5.52961198975416e-08,0,0.0971352561794085,6,5.52961198975416e-08,0.0035467556133329,0.0971352561794085,True
