guide,gene,betahat_d0,betahat_d1,betahat_d2,betahat_d3,se_d0,se_d1,se_d2,se_d3
g183,Gene83,-0.035472397,0.010783064,0.04144487,0.0065961913,0.019878652,0.025524173,0.034290805,0.042833336
g184,Gene84,-0.07851707,0.23006696,-0.101584084,-0.14738806,0.020747991,0.03062624,0.039010048,0.046349715
g185,Gene85,0.24316683,0.2374025,0.20164473,0.22006826,0.019224139,0.02749979,0.034818616,0.04282099
g186,Gene86,0.23950629,0.2426852,0.22401802,0.25854963,0.019577563,0.026675036,0.033693958,0.04447081
g187,Gene87,-0.11660298,-0.15592967,-0.12681924,-0.10335807,0.019681145,0.026708648,0.033364378,0.040896088
g188,Gene88,0.51360863,0.5149323,0.5156636,0.52032197,0.022134328,0.029136598,0.03556228,0.044234112
g189,Gene89,-0.11987243,-0.073015705,-0.09364033,-0.12891234,0.020514894,0.029435126,0.035893895,0.04340757
g19,Gene19,-0.051886883,-0.13032562,-0.09027867,-0.08028811,0.020842968,0.028562203,0.035983328,0.044560872
g190,Gene90,-0.13354786,-0.07790456,-0.11646979,-0.11959175,0.020389782,0.027852423,0.034508064,0.040485084
g191,Gene91,0.025716139,-0.0032506445,-0.0023802498,-0.029791193,0.017785648,0.025670027,0.032690167,0.042477254
g192,Gene92,-0.15618895,-0.12607262,0.54530877,-0.13234738,0.02166666,0.029737502,0.037985194,0.048826028
g193,Gene93,0.029569395,0.06898658,0.03501768,0.028376816,0.019533928,0.026515493,0.034874927,0.04234624
g194,Gene94,0.20656967,0.21287848,0.18437812,0.20267344,0.022668066,0.029952092,0.03656971,0.043807454
g195,Gene95,0.08601543,0.11931304,0.1733173,0.113165386,0.020204648,0.027451215,0.03453062,0.041973468
g196,Gene96,0.22909203,0.185548,-0.75414264,0.14846629,0.020173453,0.027979448,0.040228743,0.050950266
g197,Gene97,0.18307404,0.18555632,0.21465014,0.2079195,0.020538334,0.028097888,0.035398286,0.042755887
g198,Gene98,-0.22056317,-0.13508916,-0.17694226,-0.17718521,0.018538276,0.02718605,0.033422306,0.04096387
g199,Gene99,-0.19316715,-0.14485498,-0.14103203,-0.115410596,0.021154275,0.028594702,0.036306273,0.043951724
g2,Gene2,0.052667573,0.09227569,0.6839467,0.09917984,0.020120531,0.026607197,0.035614435,0.044077933
g20,Gene20,0.071625985,0.081988096,0.117965885,0.08595193,0.019411795,0.027211744,0.03485887,0.043829177
g200,Gene100,0.13560355,0.07505771,0.14488403,0.14415725,0.021734621,0.029328551,0.036035758,0.04453442
g201,Gene1,0.031995814,0.043186314,0.035878394,0.06519742,0.020181777,0.028172964,0.036651324,0.0456371
g202,Gene2,0.11807196,0.1576801,0.7493503,0.16458397,0.020490985,0.027315069,0.036255628,0.043991067
g203,Gene3,0.24613686,-0.12534828,0.26398262,1.0932587,0.020634798,0.030130148,0.03836733,0.051223096
g204,Gene4,0.112278,0.10813611,0.13584943,0.103233255,0.019939821,0.027424324,0.03475365,0.042428646
g205,Gene5,0.024396228,0.0041776937,0.0077567603,-0.015611894,0.020523088,0.02780839,0.036456525,0.044923805
g206,Gene6,0.00950866,-0.029444443,-0.034438916,0.0141660515,0.019280314,0.027636336,0.035645008,0.04330101
g207,Gene7,0.050421618,0.062225636,0.073219106,-0.35062394,0.02012891,0.026018964,0.03252693,0.039707564
g208,Gene8,0.25379476,0.21060112,0.20921332,0.25769767,0.020464577,0.02963771,0.03761981,0.045331903
g209,Gene9,0.26907074,0.07457123,-0.028003952,0.074746355,0.020378897,0.029056992,0.037365265,0.044210378
g21,Gene21,0.07970409,0.11668881,0.08734041,0.08078834,0.020555308,0.027068272,0.034210827,0.040855225
g210,Gene10,0.93043995,0.3149227,0.08713111,0.21564609,0.025600942,0.0352534,0.0433418,0.051310714
g211,Gene11,-0.50216466,0.16751252,0.27305004,0.2522063,0.02366997,0.034885723,0.040857065,0.04779567
g212,Gene12,0.10654072,0.07887481,0.114606135,0.06819931,0.020460006,0.02895576,0.036355887,0.04369722
g213,Gene13,0.44199154,0.42286792,0.41897932,0.41075516,0.021264277,0.028730683,0.03513836,0.043640878
g214,Gene14,0.15735671,0.17119138,0.2025587,0.15382588,0.019795734,0.026889423,0.034312367,0.04163235
g215,Gene15,0.3810942,-0.15219069,1.0593584,-0.10089925,0.022417845,0.03144882,0.04533189,0.05688729
g216,Gene16,0.041589063,0.011484458,0.029368492,0.68535745,0.020907227,0.02810155,0.036225848,0.04771593
g217,Gene17,-0.0596911,-0.14055939,-0.17124528,-0.1199445,0.021187494,0.028347405,0.036126863,0.043822464
g218,Gene18,0.08032504,0.13761984,0.80530494,0.04880918,0.020969821,0.028648065,0.037645325,0.04816964
g219,Gene19,-0.28460437,-0.36304325,-0.32299632,-0.3130057,0.022374459,0.03053049,0.03726812,0.045362297
g22,Gene22,0.20346862,0.6227027,0.20947254,0.130163,0.023283625,0.031933874,0.04139773,0.048802644
g220,Gene20,0.16459848,0.1749609,0.21093877,0.17892465,0.019694012,0.027993262,0.035752986,0.04470752
g221,Gene21,0.028285628,0.06527039,0.035921957,0.029369853,0.02001384,0.026439019,0.034164254,0.040708285
g222,Gene22,0.16585836,0.5850928,0.17186224,0.09255281,0.021540098,0.030739624,0.039183296,0.046675537
g223,Gene23,-0.33887503,0.1444172,0.26562098,0.22082898,0.02027168,0.0313743,0.038531143,0.046578404
g224,Gene24,0.19621937,0.17466061,0.23628435,0.22257772,0.01999112,0.028728368,0.03690775,0.04416461
g225,Gene25,-0.007524329,0.04981934,0.012382064,0.012417997,0.020242218,0.028175352,0.03571053,0.042343915
g226,Gene26,0.24077871,0.23909427,0.25122046,0.29142806,0.018641694,0.025204364,0.03280921,0.040913403
g227,Gene27,0.21674609,0.21929716,0.24657013,0.17581452,0.020119749,0.02619314,0.034456074,0.041673183
g228,Gene28,0.009057309,0.003636747,0.021343619,0.024988558,0.021507958,0.029199183,0.036139634,0.043894023
g229,Gene29,0.076040775,0.064541355,0.090413764,0.05017484,0.021342242,0.028372884,0.034842685,0.0440394
