gene,betahat_d0,betahat_d1,betahat_d2,betahat_d3,se_d0,se_d1,se_d2,se_d3,postmean_d0,lfsr_d0,postmean_d1,lfsr_d1,postmean_d2,lfsr_d2,postmean_d3,lfsr_d3,lfsr_min,best_day
Gene32,0.01846561,0.0177929,0.07152365,0.47810993,0.010539777,0.0203641,0.028683884,0.040152833,0.00102520716628672,0.945184533765673,0.000914248070346712,0.955037601458201,0.00390727038850438,0.943108508200379,0.423286565771868,7.35784675023491e-33,7.35784675023491e-33,3
Gene33,0.039981157,0.06516402,0.036511444,-0.0072420835,0.010402873,0.020438228,0.030610565,0.038434774,0.0401936586479428,0.000426113393004989,0.0482357214244373,0.000493855524227513,0.0385650557908222,0.0117289182859974,0.0305121958968356,0.0634632451578764,0.000426113393004989,0
Gene34,0.041479442,0.01762715,-0.4215505,0.03611681,0.010268937,0.020857789,0.030187463,0.040914323,0.0390394383921775,0.0586985723579205,0.0172415101006907,0.235462610172486,-0.417355249189624,1.11022302462516e-16,0.0362072678560095,0.218135304497667,1.11022302462516e-16,2
Gene35,0.030374829,0.024056602,0.03155826,0.018159164,0.009524615,0.021037964,0.030163582,0.040569898,0.0278502046822383,0.00233043464603413,0.0251191846413568,0.0439244886414953,0.0259273938606933,0.0489064286718728,0.0242431642703541,0.0745574811206046,0.00233043464603413,0
Gene36,0.026716013,0.047559164,0.000482978,-0.23279752,0.009533058,0.019717142,0.0293384,0.039499946,0.0180220071459749,0.338063654983247,0.0324685468098804,0.340640539282561,0.00289571918697638,0.628355236596949,-0.241858911469597,3.92763710443944e-09,3.92763710443944e-09,3
Gene37,0.039092224,0.33311868,-0.021798667,-0.029723458,0.010815106,0.023439994,0.03381598,0.040827364,0.0300260129352222,0.227410863901573,0.331980594752597,3.63914130425644e-46,-0.0166971871315203,0.427884958684175,-0.0225150715935568,0.408821872400028,3.63914130425644e-46,1
Gene38,-0.0063830977,-0.046413843,-0.08740526,-0.03461473,0.009880801,0.021446958,0.02946869,0.039320167,-0.00994849940072687,0.197010303596846,-0.0216672687223798,0.0753239173284813,-0.0271679129214552,0.100041112367142,-0.0136328556572643,0.235303231933793,0.0753239173284813,1
Gene39,0.014589979,0.05923979,0.08423893,0.054209385,0.010426829,0.022806853,0.032458488,0.041184813,0.0168367528226376,0.0857068826307913,0.0268514169425417,0.0268294215478149,0.0264968827001099,0.0766861568662911,0.0201973559711443,0.129215077942929,0.0268294215478149,1
Gene4,-0.010612039,-0.015239947,0.013133482,-0.017760552,0.010102515,0.021741465,0.030180575,0.037873298,-0.00714928913886137,0.306956760553154,-0.0088516184945533,0.249850391489425,-0.00384444196291175,0.439974418984538,-0.00715971659679668,0.370635359913724,0.249850391489425,1
Gene40,0.036892004,0.021665907,0.012734816,0.048483122,0.010982167,0.022379424,0.031041067,0.03994349,0.0297057628533218,0.00385671510095159,0.0235369114617916,0.0809199339063753,0.0227204040619645,0.104988231879216,0.026690740573064,0.0734322328431338,0.00385671510095159,0
Gene41,0.041624438,0.1096224,0.13959847,0.12318301,0.009215923,0.02077966,0.03064856,0.039595913,0.0425917483329505,2.50819196524431e-06,0.0664041130269516,3.84933698225106e-06,0.0697317485128875,4.90957302687228e-05,0.0599632867620699,0.00151002772053112,2.50819196524431e-06,0
Gene42,-0.024475934,-0.00866615,-0.0033730932,-0.007986367,0.01041481,0.021495717,0.031009,0.040281042,-0.0199165814419549,0.0383156506272514,-0.015357038370758,0.146233495476329,-0.0150948220219705,0.17487451259435,-0.0157157607002143,0.171710104262765,0.0383156506272514,0
Gene43,-0.01847023,-0.050134186,0.0022932964,-0.04402613,0.009733938,0.01989018,0.028997941,0.037354868,-0.0149206052140509,0.163564752219825,-0.0272079344997695,0.0216367289086117,-0.0106717617033221,0.309818602287507,-0.0174276295084181,0.215625396022017,0.0216367289086117,1
Gene44,0.044122186,0.054684054,0.278536,0.048439465,0.010024084,0.020117512,0.030115122,0.03679985,0.0433401186798144,0.000750277934891089,0.0518738068236172,0.00525080108761983,0.271110555877936,1.00975946521084e-19,0.0420938779812767,0.121832489788949,1.00975946521084e-19,2
Gene45,-0.0014644754,0.018221747,-0.00067149074,0.00189068,0.009600038,0.020717937,0.02893982,0.03706366,8.33829978447737e-05,0.630493040139399,0.00741287591162889,0.337502586405831,0.00058824666580132,0.621840022438583,0.000695356969733982,0.615484801144791,0.337502586405831,1
Gene46,0.020019062,-0.73035127,0.018951386,0.07639534,0.010099319,0.027634779,0.038128365,0.046907887,8.03170244084355e-05,0.996099025461243,-0.753864098211059,0,7.45572958132691e-05,0.997249631145484,0.000300382904247127,0.996218379721057,0,1
Gene47,-0.01673422,0.40630803,-0.036949456,-0.05570727,0.010422329,0.024484832,0.034897123,0.042867336,-0.000103194931470328,0.994173944952363,0.426942790408844,2.36559722259879e-64,-0.00022389481646686,0.994749717040689,-0.000335248773583992,0.994458735643419,2.36559722259879e-64,1
Gene48,0.0036585117,-0.02035655,-0.037405,0.0012885262,0.009571866,0.020063106,0.028421916,0.037184265,-0.000325373400191357,0.59342571372265,-0.00800919104844402,0.309385652788499,-0.0067586814252083,0.453033472979572,-0.000749662467171138,0.570991068445679,0.309385652788499,1
Gene49,0.13384578,-0.12052228,-0.16989139,-0.17855993,0.011315329,0.022772977,0.031801682,0.039040077,0.133626847789052,8.14636410027533e-33,-0.116700397551879,1.03841803933413e-07,-0.163707360503029,8.70113129325389e-08,-0.169998371431739,4.0065567196157e-06,8.14636410027533e-33,0
Gene5,0.020376518,-0.0010882483,0.002065402,-0.019428223,0.01064984,0.02308286,0.03227067,0.04244321,0.0167161050538029,0.079281508673463,0.0117409271192966,0.211602274444021,0.012782931792453,0.220202177741716,0.0108504185387269,0.261110076446367,0.079281508673463,0
Gene50,-0.010617011,-0.0054521672,0.035929,0.005204684,0.009539912,0.020458208,0.029703412,0.039737772,-0.00668110358033345,0.308782525421013,-0.0069550027670269,0.295469269335834,-8.67116296189555e-05,0.527506240334926,-0.00453784372273339,0.429361594524114,0.295469269335834,1
Gene51,0.05973748,-0.0014154373,-0.8044158,0.06722946,0.011390979,0.022573058,0.03452294,0.046400152,0.0597808948986895,0.000241567327769155,-0.000541530898292005,0.490518357894229,-0.799424197298368,1.11022302462516e-16,0.0696553885237423,0.0651179304370798,1.11022302462516e-16,2
Gene52,0.034763135,0.55279404,-0.07440489,0.4754385,0.011995191,0.025965655,0.03904012,0.047457468,0.0340656743553976,0.00222604289884147,0.548212790255407,5.52155393884164e-97,-0.0771152624548242,0.0234373318371236,0.468074139743701,1.19902962068769e-23,5.52155393884164e-97,1
Gene53,0.034602813,0.07586175,0.061972782,0.09543104,0.010320905,0.021004386,0.03276217,0.04093278,0.0336621080751306,0.00180927257542171,0.0402804539344789,0.00109297849074812,0.0349859890428991,0.0131914482382265,0.0374036745740316,0.0105250053751307,0.00109297849074812,1
